,input_ba,true_en,pred_en
1228,kunnavae aella pallituga opputhu,all childrens want to go to school,keep everything clean
1229,na aena aegithae nee aena maadinthae,what did i told what did you do,what did i do to you
1230,osi bessi neeru be,keep some hot water,drink water
1231,mandae eradhara aenaga,i have a headache,what is the price for this car
1232,naaiga othina aeddhu budu,wakeup early tomorrow,tomorrow i will come
1233,jaennagu hallu ujjaadhu,daily we need to brush our teeth,we should go to school
1234,aellaga mariyathae kottu baasae haadathu,we have to respect everyone while speaking,dont be scared of me
1235,hanja baeda na edhdhae,dont be scared im here,dont talk to anyone
1236,na aelligu baputhu ellae,im not comming anywhere,i wont come here
1237,appara santhoshava hadathae,im very happy,there are many things to do
1238,aennaga eppathu aeradu vayasu aipta,im twenty two years old,i will give you some money
1239,naaiga ninnava na noodinae,tomorrow i will see you,tomorrow i will watch serials
1240,na ninnava aethae gaena buttanae,how would i forgot you,i havent seen you
1241,edhdhuna aethae maaduthu aegu,how to do this,what is the name for this
1242,aenaga edhdhu suthava edipilae,i dont like this,i dont have any
1243,eni maellae ethae maka maadirae hasagatha nee,dont repeat this ever again,why are you so angry
1244,nee badaga harathaya,are you badaga,did you know badaga
1245,ninna akka appara sooka edhavae,your sister looks so pretty,your daughter is so beautiful
1246,ninna amma na sarae na bathil aegarae,i cant answer your mother,i know you too much
1247,ei thattu osthu maakae,is this a new plate,this is my birthday
1248,jairam amba hamana nee harathaya,do you know jairam,do you know jairam
1249,emmana musi ya noodiriyae assundu,i feel irritated when i see your face,he is so angry
1250,na ninga manaega bannae endhdhu,today i will come to your home,i will come here tomorrow
1251,olleya paatu kaethu appara jaenna aipta,it has been days since i have listened to a good song,this is a big day
1252,kunni kachirae appara habathu,getting a bite from bees is too dangerous,this baby is so cute
1253,nee thoddama harae aena harae,what is your aim in life,what is your father doing
1254,aella aelliga oiypru,where did everyone go,where did everyone go
1255,aella baruthu butaya,did you write everything,did you go to school
1256,ettu edipiliya,i dont like the food,did you drink water
1257,jaasthi thindhaya ellae kammi thindhaya,did you eat full or less,did you thindhaya
1258,ollunga thimbuthu,we should eat properly,do you have a sleeve
1259,nae anthallae aennaga appara edathara,i like dogs so much,i like cats so much
1260,ninna sarae nae hadathaya,do you have a dog,did you have milk
1261,edhu appara thoduthu thava,this is very big,this is so good
1262,nee aelli kathae,where did you study,you are not a good guy
1263,ninna koda appara kasta,it is too difficult to handle you,your father is so angry
1264,nee aendhdhu hattindha banthae,when did you come from the village,you are here in my home
1265,appara ottae asthara aennaga,im too much hungry,i dont like this
1266,seri na oittu bannae,okay i will leave,i will go to my house
1267,badaga baasae hadathu sooku,speaking badaga is amazing,badaga is so good
1268,hama sathu butta,he passed away,he ate a cup
1269,nennae na ninna appa na noodithae,yesterday i met your father,yesterday i met your father
1270,naaiga ninna chithi ya nooda,tomorrow you meet my aunty,tomorrow you meet your sister
1271,naaiga ninna maama na nooda,tomorrow you meet my uncle,tomorrow we will meet your brother
1272,ollenge edhdhae,im fine,how is the dress
1273,nee hamana appara koopa maada gaenna,you dont make him angry too much,you dont know him
1274,ha aemmathi thara,who is that lady,he is a good guy
1275,elliga banthariya,will you come here,come here
1276,nanga aerada endhdhu paada ga oppa va,can we go to the movie today,come lets go to school today
1277,nee hamana ariyarae maka,i think you dont know him,you dont know him
1278,na ninga hatti gowda na arathae,i know your village president,i know you are a good guy
1279,santhu thimbuthuga aena ettu,what is there for dinner,what to do next
1280,ninna sarae aena  hadathae,what do you have,what do you have
1281,na ninnava nambi tha edhdhae,i beleive you,i know you
1282,nee aennava aeka korchulae,why didnt you call me,you are not good friends
1283,emaga jasthi bala ellae,he is not that strong,he is not a good guy
1284,nee appara singarava eddhae,you are so beautiful,you are so beautiful
1285,edhuga maelae na ondhu aegarae,i wont tell anything,i dont know how to do this
1286,amme appara porupa edhdhavae,she is responsible,he is so good
1287,haavu noodirae appara anjikae bandhara,i fear snake,i feel like a pig
1288,buruvae baasae hadabeda,dont talk rubbish,dont look at this
1289,ni aenna rani ya edhdharaya,will you be my queen,did you know my father
1290,pada appara asundu,film was so boring,the house is too big
1291,endhdhu aena ettu,what will we have today,what is the day today
1292,tho ga tha bandi banthara,bus will come to the bus stand,we have a band
1293,emmana maakae koosu dharu ellae,nobody is good as him,he is not a good guy
1294,havaka banthu buttru,they came,they came
1295,aennaga kumbakae eddiya,i dont like pumkin,i dont know how to write
1296,ninga hatti raj na harathaya,you know raj from your village,you are your village minister
1297,odha vaara aena maadithae,what did you do last week,what did you do this week
1298,kuduputhuga neeru hadathaya,do you have drinking water,drink water in the fridge
1299,kammi kudi,drink less,come lets go
1300,surakana osi kaapi be,prepare some hot coffee,bring some water to your home
1301,nee tha aellava sakathu,you should look after everbody,you should teach me
1302,manakana baruthu budu,write fast,wash the clothes
1303,seri na oittu bannae,okay i will leave,i will go to my house
1304,nangiga olleya jaenna,day after tomorrow is a good day,tomorrow is a good day
1305,kappe aennaga ediya,i dont like frogs,dont eat anything
1306,hama aerkaennavae koopa thogae eddhaennae,already he is in angry,he is a good guy
1307,endhdhu orrukuthu othina gelcha ga banthu buttae,i have came early for the work today,today i have had a day off the school
1308,ei saelae appara sooka ha hadathae,this sharee looks beautiful,this ring is so beautiful
1309,bandi aethu aelliyachi oppa,take the vechile we will go somewhere,do you have a ring
1310,uttuga rathi nee,you are born queen,you are a good guy
1311,ninna kenni kaesona hadathae,your cheeks are reddish,your name is ninty one
1312,hadatha varusa na mannae kattinae,next year i will built a house,i havent seen any other people
1313,emaga simbu tha edathara,he likes simbu,he is a good guy
1314,mussiya noodu,look at your face,look at the dress
1315,hava murukkindhu edhdhavae,she is in a foul mood,i have a murukkindhu
1316,ei putti ya jaasthi neeru hadathae,this bottle has more water,this ring is so nice
1317,evaka aesu maniga banthara vario,when they will come,how much money will you give him
1318,ei bala paetti ogasu appara porulu hadathae,there is a lot of items inside this cupboard,this little bit of milk is so good
1319,hallu urchira aennaga,my teeth is paining,my neck is paining
1320,na eni maellaee nalubuthuga baputhu ellae,i wont come to play hereafter,i wont play hereafter
1321,ninna koosu na hesaru aena,what is your sons name,what is your name
1322,thimbuthuga elliya ondhu ellae,there is nothing to eat,there is no thimbuthuga
1323,ninna maellae aennaga thani gava hadathae,i have special affection on you,your house is so small
1324,dhana badagaruga soomi maakae,the cow is worshiped as a god by badagas,i will kill you
1325,ninga thindhupra,did you had good,did you eat
1326,nanga nalaba va,shall we play,will we play
1327,buruvae jaama maada baeda seriya,dont make late okay,dont do anything
1328,manae ga oi buttra,did you go home,go home
1329,aellaga namaskara,my grettings to all,we will go to school
1330,nanga aerada saethu oppa ba,come lets go together,come lets go to school
1331,dhara bapilae,who did not come,i will come
1332,ninnaga aesu vayasu,what is your age,what is your salary
1333,orrukuthu othina banthuptae maakae,today you came early,morning it was raining
1334,nee aethae edhdhae,how are you,how are you
1335,aenna amma ninna kooda aena aegidha,what did my mother told to you,what did my mother told
1336,bala paetti aelliya hadathae,where is the cupboard,there is a lot of water in this river
1337,baari thimba,come lets eat,come lets go
1338,aenna maejoodu kaenae thava,my socks is missing,my clothes are not so good
1339,ennu aesu jaama hadathae,how much time left,how many days left
1340,emana siti manakana ogu aenthu aegu,ask him to go little fast,what is the price for this guy
1341,nee hamana noodu,you see him,you look at him
1342,gaasu appara thinna baeda,dont eat too much potato,dont look at this
1343,baanu thumba neellae banna endhdhu,sky is full of blue today,today i will come early
1344,madhuvae aeguva,when is your marriage,what is the price
1345,ninnaga aena hannu appara edathara,which fruit you like the most,what do you like most
1346,gelcha maadu,do the work,work is done
1347,buruvae buruvae korcha baeda aennava,dont call me simply,dont come here
1348,appara baasae hada baeda,dont talk too much,dont look at me
1349,aennaga avarai udhaka appara edathara,i like beans gravy,i like a lot of things
1350,endhdhu muttu jaenna,today is new moon day,today is thursday
1351,eni maellae ethae aella aega baeda,dont tell like this again,dont play with this game
1352,ei kaagitha appara mukkiya,this paper is so important,this shirt is so big
1353,na ninna pathi hariyarana,do you think i dont know about you,i will marry you
1354,ninna thamma ollenge edhdhanaya,how is your younger brother,you are my brother
1355,aennaga rajini tha edathara,i like rajini,i like rajini
1356,orruku banthutha,did you got sleep,did you sleep well
1357,nee aennava aemathi buttae,you cheated me,you know me
1358,appara baara va thooka baeda,dont carry too much weight,dont shake your head
1359,edhu kappu banna,this is black color,this is a tad bit sour
1360,edhuga hesaru aena,what is the name for this,what is the name of this
1361,endhdhu sani jaenna,today is saturday,today is saturday
1362,aenna hangalu appara urchira,my foot is paining,my neck is paining
1363,na kaegithae noodu,i sent you,i will look at you
1364,na alivario ninnava noodithae,i have seen you somewhere,i have seen you all
1365,ei bandi ollenge hadathae,this vechile looks good,this bandi is so big
1366,na aena aegithae nee aena maadinthae,what did i told what did you do,what did i do to you
1367,mangavaara olleiya jaenna,tuesday is a good day,day before yesterday is my birthday
1368,emaga appara soomi bakthi,he is a devotee of god,he is a god
1369,nee aellaga mariyathae kodathu,you should respect everyone,you should always speak to anyone
1370,edhu ninna hennu thanae,she is your girl right,you are a good guy
1371,emma appara koopakaara,he is an angry man,he is a good guy
1372,nee ollenge bandi odisirae,you drive nice,you dont have any other problems
1373,ema aeka ennu kaanae,why he is still not here,why is this so important
1374,santhu koi udhaka maadu,prepare chicken gravy for dinner,we will go to the village
1375,ollenge edhdhae,im fine,how is the dress
1376,ollenge orrugulaya,i didnt sleep well,did you go to school
1377,ei gelcha va maadibutaya nee,did you complete this job,did you work here
1378,nee sooka edhdhae,you are beautiful,you are so beautiful
1379,jaenu appara sooka attra,honey will be so good,this is so nice
1380,orruku bapaningae harae orrasu nadae,take a small walk if you feel sleepy,dont come here if you are hungry
1381,hanjathae eru,dont be scared,keep this tab clean
1382,naaiga ninna chithi ya nooda,tomorrow you meet my aunty,tomorrow you meet your sister
1383,dhara bapilae,who did not come,i will come
1384,maanu appara hanjira,deer fears a lot,dont drink milk
1385,aenna sarae eranoora ondhu uripi hadathae,i have two hundred and one rupees,i have two hundred and one rupees
1386,aennaga ondhu baeda,what does he want,dont be scared
1387,kuduputhuga neeru hadathaya,do you have drinking water,drink water in the fridge
1388,nee ennu orugulaya,still you havent slept,did you go to school
1389,jamma appara haibuta,its too long,i dont have a lot
1390,mandae goruthuga kannadi baeku,you need mirror to comb your hair,go for some time
1391,aenna sarae saavirtha eambathi aeradu uripi hadathae,i have thousand and eighty two rupees,i have thousand and eighty two rupees
1392,kothi ezzhu varusa tha edhdhara,cats will live for seven years,this is a good food
1393,endhdhu aennaga parchae ellae,today i dont have exam,today i dont have any work
1394,aennaga aerudu amme yavaka edhdharae,i have two younger sisters,i know my brother
1395,edhu appara mukkiyavatha jooli,this is so important work,this is so good for you
1396,jaama harae nalubuthuga mudiya,we cant play if we are late,we should not drink water
1397,nee badaga harathaya,are you badaga,did you know badaga
1398,sooga paatu kaethalae ollenge oruku banthara,listening to sad songs makes me sleep better,sooga paatu i cant sleep well
1399,purudhu tha oodhathu,understand and learn,do you have a good ear
1400,aenna sarae naaku uripi hadathae,i have four rupees,i have four rupees
1401,ennu na aena maaduthu,what should i do next,what did you do this year
1402,ninga ae soomi ya vaendiyari,which god do you worship,how many peoples are there in your village
1403,ei thinguva ondhu assundu,this whole month is boring,this is a good thing
1404,ninnava noodiriyae ondhu kusi hara,looking at you makes me happy,you should not look at me
1405,na ennu hadhuna harambichavae ellae,still you did not started it,i dont have any
1406,addae maakae baasae haada baeda,dont speak rubbish,dont worry about me
1407,aenna sarae noora naaku uripi hadathae,i have hundred and four rupees,i have hundred and four rupees
1408,aenna sarae nanoora ombathu uripi hadathae,i have four hundred and nine rupees,i have four hundred and nine rupees
1409,na bandi oodisi hariyarae,i dont know to drive,i dont know bandi
1410,na bannae halliga,i will come there,i will come here
1411,edhu kappu banna,this is black color,this is a tad bit sour
1412,nee manakana ondhu sambuvaga saeru,get a job soon,you should buy a new shirt
1413,ninnaga ketta palaka ondhu ellaeya,you dont have any bad habbits,dont have any other children
1414,maennaya avaka aella ollenge eddharaya,how is everybody at home,how is your father
1415,aennaga ondhu mutha tha,give me a kiss,i dont have any
1416,nanga maellaena nadaba ba,we will walk slow,come lets go to my house
1417,elliga ba,come here,come here
1418,maranae tha na hatti ga odhae,day before yesterday i went to school,day before yesterday i went to school
1419,ninga hatti raj na harathaya,you know raj from your village,you are your village minister
1420,gelcha maadirae seri,it would be good if you work,work is not good
1421,ha kadaya orukuthu othina tharuthu butara,that shop will open early in the morning,we should have done some homework
1422,ninga hamana noodiyariya,are you going to see him,you saw him
1423,aenna sarae thombathi mooru uripi hadathae,i have ninty three rupees,i have ninty three rupees
1424,naaiga nooda ji,will see you tommorrow,tomorrow we will meet tomorrow
1425,nennae aenna utti jaenna,yesterday is my birthdat,yesterday is my birthday
1426,saendu maada va,shall me do a ball,will you come
1427,haalu kudapa,we will drink milk,drink milk
1428,ei pai appara baara,this bag is too heavy,this shirt is so nice
1429,manae ga ogaka,we can go home,come here
1430,batlu thogibudu,wash the plate,wash the clothes
1431,aennava harathara,they know me,i am a scolding man
1432,ei thinguva aena maadithae,what did you do this month,what did you do this week
1433,aenna sarae ondhu uripi hadathae,i have one rupees,i have one rupees
1434,pada ollenge hattutha,how was the film,do you have a good ear
1435,pottu makae basae haada beda,dont talk like a fool,dont make it hard
1436,edhuga aena karana,what was the reason for this,what is your birthday
1437,nee ei aedaga ostha,are you new to this place,what did you do this year
1438,anga manaeya motha naaka,four members are there in my house,we will go to the village
1439,aenna sarae saavirtha eppathi ondhu uripi hadathae,i have thousand and twenty one rupees,i have thousand and twenty one rupees
1440,ema ga aena baeku,what does she want,what does he want
1441,aenna sarae saavirtha nooru uripi hadathae,i have thousand and hundred rupees,i have thousand and thirty rupees
1442,ei dhari appara moosa,this way is so bad,this is so bad
1443,na ninna pathi hariyarana,do you think i dont know about you,i will marry you
1444,mae butu buta,rain stopped,it was too hot
1445,edhdhuna aethae maaduthu aegu,how to do this,what is the name for this
1446,nae attrae jaama athae oora aenthu aeguthu mudiya,time will go on  without boring if you have a dog,how many days do you have to go to school
1447,aenna sarae eambathi mooru uripi hadathae,i have eighty three rupees,i have eighty three rupees
1448,hallu urchira aennaga,my teeth is paining,my neck is paining
1449,dhomba balae aesaga,what is the price for tomatto,what is the price for this
1450,aenna sarae saavirtha nalavathi haaru uripi hadathae,i have thousand and fourty six rupees,i have thousand and fourty six rupees
1451,aennava nenachithiya,did you think of me,did you call me
1452,e paata kaethara appara santhoshava hadathae,i feel happy while listening to this song,this baby girl is so cute
1453,aenna sarae saavirtha moovathi haaru uripi hadathae,i have thousand and thirty six rupees,i have thousand and sixty six rupees
1454,aennava dhara korchithuru,who called me,i have two lakhs
1455,edhae nooda baeda aennava,dont look at me like this,dont look at this
1456,na pada noodinae,i going to watch movie,i will watch serials
1457,aenna sarae eppathi haaru uripi hadathae,i have twenty six rupees,i have twenty six rupees
1458,nee ninna jooli ya noodu,you better look at your work,you are your father
1459,nee bandi oodisi harathaya,do you know how to drive,you dont know how to play
1460,naaiga aenna utti jaenna,tomorrow is my birthday,tomorrow is my birthday
1461,jaennagu orrukuthu othina aebbuthu,daily we have to wakeup early in the morning,we should do this early in the morning
1462,ei haspithiri seri ellae,this is not a good hospital,this hospital is so small
1463,ninga thindhara,did you have food,you are thindhara
1464,ninnaga aena hannu appara edathara,which fruit you like the most,what do you like most
1465,aenaga orruku bapaningae hadathae,i feel sleepy,i have a bed in my bed
1466,ninga maennaya aesaga edhi,how many people are there in your house,what is your name
1467,chinna baellae aesaga vario,what is price for gold,what is the price for this
1468,yaemmae appara kappa attra,buffalo will be so black in color,this guy is so cute
