,input_ba,true_en,pred_en
1205,ninna anna na hesaru aena,what is your brothers name,what is your brothers name
1206,habba aeguva,when is the festival,when is the festival
1207,ninna utti jaena aeguva,when is your birthday,when is your birthday
1208,nanga nalaba va,shall we play,shall we play
1209,ninna koosu na hesaru aena,what is your sons name,what is your sons name
1210,koosu aena kathana,what is your son studying,what is your son studying
1211,baarivi baarivi,comeon comeon,comeon comeon
1212,edhu aeka ethae hadathae,why it is like this,why it is like this
1213,edhu appara kastava hadathae ae,this is so difficult,this is so difficult
1214,essu jaama aena maadithae,so long what did you do,so long what did you do
1215,elliga ba,come here,come here
1216,naaiga ollenge orragaku,tommorow i can sleep well,tommorow i can sleep well
1217,orrukuthu nooda,see you in morning,see you in morning
1218,na noodavae ellae ninna,i havent seen you,i havent seen you
1219,hatlae osi tharika,give me some if you have,give me some if you have
1220,ninna kunnavae aella ollenge edhariya,how are your children,how are your children
1221,hama bittiga tha edhdhanae,he is jobless,he is jobless
1222,naaiga mukiyavaenna jaenna,tommorrow is an important day,tommorrow is an important day
1223,ninna hatti aedhu,which is your village,which is your village
1224,nee dhara maathi,whose son are you,whose son are you
1225,manni aesaga,what is the time,what is the time
1226,mangavaara olleiya jaenna,tuesday is a good day,tuesday is a good day
1227,thamma appara sooka edhdhanae,brother looks handsome,brother looks handsome
1228,kunnavae aella pallituga opputhu,all childrens want to go to school,all kids want to go to school
1229,na aena aegithae nee aena maadinthae,what did i told what did you do,what did i told what did you do
1230,osi bessi neeru be,keep some hot water,keep some hot water
1231,mandae eradhara aenaga,i have a headache,i have a headache
1232,naaiga othina aeddhu budu,wakeup early tomorrow,wakeup early tomorrow
1233,jaennagu hallu ujjaadhu,daily we need to brush our teeth,daily we need to brush our teeth
1234,aellaga mariyathae kottu baasae haadathu,we have to respect everyone while speaking,we have to respect everyone while speaking
1235,hanja baeda na edhdhae,dont be scared im here,dont be scared im here
1236,na aelligu baputhu ellae,im not comming anywhere,im not comming anywhere
1237,appara santhoshava hadathae,im very happy,im very happy
1238,aennaga eppathu aeradu vayasu aipta,im twenty two years old,im twenty two years old
1239,naaiga ninnava na noodinae,tomorrow i will see you,tomorrow i will see you
1240,na ninnava aethae gaena buttanae,how would i forgot you,how would i forgot you
1241,edhdhuna aethae maaduthu aegu,how to do this,how to do this
1242,aenaga edhdhu suthava edipilae,i dont like this,i dont like this
1243,eni maellae ethae maka maadirae hasagatha nee,dont repeat this ever again,dont repeat this ever again
1244,nee badaga harathaya,are you badaga,are you badaga
1245,ninna akka appara sooka edhavae,your sister looks so pretty,your sister looks so pretty
1246,ninna amma na sarae na bathil aegarae,i cant answer your mother,i cant answer your mother
1247,ei thattu osthu maakae,is this a new plate,is this a new plate
1248,jairam amba hamana nee harathaya,do you know jairam,do you know jairam
1249,emmana musi ya noodiriyae assundu,i feel irritated when i see your face,i feel irritated when i see your face
1250,na ninga manaega bannae endhdhu,today i will come to your home,today i will come to your home
1251,olleya paatu kaethu appara jaenna aipta,it has been days since i have listened to a good song,it has been days since i have listened to a good song
1252,kunni kachirae appara habathu,getting a bite from bees is too dangerous,getting a bite from bees is too dangerous
1253,nee thoddama harae aena harae,what is your aim in life,what is your aim in life
1254,aella aelliga oiypru,where did everyone go,where did everyone go
1255,aella baruthu butaya,did you write everything,did you write everything
1256,ettu edipiliya,i dont like the food,i dont like the food
1257,jaasthi thindhaya ellae kammi thindhaya,did you eat full or less,did you eat full or less
1258,ollunga thimbuthu,we should eat properly,we should eat properly
1259,nae anthallae aennaga appara edathara,i like dogs so much,i like dogs so much
1260,ninna sarae nae hadathaya,do you have a dog,do you have a dog
1261,edhu appara thoduthu thava,this is very big,this is too big
1262,nee aelli kathae,where did you study,where did you study
1263,ninna koda appara kasta,it is too difficult to handle you,it is too difficult to handle you
1264,nee aendhdhu hattindha banthae,when did you come from the village,you came early today
1265,appara ottae asthara aennaga,im too much hungry,im too much hungry
1266,seri na oittu bannae,okay i will leave,okay i will leave
1267,badaga baasae hadathu sooku,speaking badaga is amazing,speaking badaga is amazing
1268,hama sathu butta,he passed away,he passed away
1269,nennae na ninna appa na noodithae,yesterday i met your father,yesterday i met your father
1270,naaiga ninna chithi ya nooda,tomorrow you meet my aunty,tomorrow we will meet your mother in law
1271,naaiga ninna maama na nooda,tomorrow you meet my uncle,tomorrow we will meet your uncle
1272,ollenge edhdhae,im fine,im fine
1273,nee hamana appara koopa maada gaenna,you dont make him angry too much,you dont make too much weight on his leg
1274,ha aemmathi thara,who is that lady,who is that lady
1275,elliga banthariya,will you come here,will you come here
1276,nanga aerada endhdhu paada ga oppa va,can we go to the movie today,can we go to the movie today
1277,nee hamana ariyarae maka,i think you dont know him,i think you dont know him
1278,na ninga hatti gowda na arathae,i know your village president,i know your village president
1279,santhu thimbuthuga aena ettu,what is there for dinner,what is there for dinner
1280,ninna sarae aena  hadathae,what do you have,what do you have
1281,na ninnava nambi tha edhdhae,i beleive you,i beleive you
1282,nee aennava aeka korchulae,why didnt you call me,why didnt you call me
1283,emaga jasthi bala ellae,he is not that strong,he is not that strong
1284,nee appara singarava eddhae,you are so beautiful,you are so beautiful
1285,edhuga maelae na ondhu aegarae,i wont tell anything,i wont tell anything
1286,amme appara porupa edhdhavae,she is responsible,she is responsible
1287,haavu noodirae appara anjikae bandhara,i fear snake,i fear snake
1288,buruvae baasae hadabeda,dont talk rubbish,dont talk rubbish
1289,ni aenna rani ya edhdharaya,will you be my queen,will you be my queen
1290,pada appara asundu,film was so boring,film was so boring
1291,endhdhu aena ettu,what will we have today,what will we have today
1292,tho ga tha bandi banthara,bus will come to the bus stand,bus will come to the bus stand
1293,emmana maakae koosu dharu ellae,nobody is good as him,nobody is good as him
1294,havaka banthu buttru,they came,they came
1295,aennaga kumbakae eddiya,i dont like pumkin,i dont like pumkin
1296,ninga hatti raj na harathaya,you know raj from your village,you know raj from your village
1297,odha vaara aena maadithae,what did you do last week,what did you do last week
1298,kuduputhuga neeru hadathaya,do you have drinking water,do you have drinking water
1299,kammi kudi,drink less,drink less
1300,surakana osi kaapi be,prepare some hot coffee,prepare some hot coffee
1301,nee tha aellava sakathu,you should look after everbody,you should look after everbody
1302,manakana baruthu budu,write fast,write fast
1303,seri na oittu bannae,okay i will leave,okay i will leave
1304,nangiga olleya jaenna,day after tomorrow is a good day,day after tomorrow is a good day
1305,kappe aennaga ediya,i dont like frogs,i dont like frogs
1306,hama aerkaennavae koopa thogae eddhaennae,already he is in angry,already he is in angry
1307,endhdhu orrukuthu othina gelcha ga banthu buttae,i have came early for the work today,i have came early for the work today
1308,ei saelae appara sooka ha hadathae,this sharee looks beautiful,this sharee looks beautiful
1309,bandi aethu aelliyachi oppa,take the vechile we will go somewhere,take the vechile we will go somewhere
1310,uttuga rathi nee,you are born queen,you are born queen
1311,ninna kenni kaesona hadathae,your cheeks are reddish,your cheeks are reddish
1312,hadatha varusa na mannae kattinae,next year i will built a house,next year i will built a house
1313,emaga simbu tha edathara,he likes simbu,he likes simbu
1314,mussiya noodu,look at your face,look at your face
1315,hava murukkindhu edhdhavae,she is in a foul mood,she is in a foul mood
1316,ei putti ya jaasthi neeru hadathae,this bottle has more water,this bottle has more water
1317,evaka aesu maniga banthara vario,when they will come,when they will come
1318,ei bala paetti ogasu appara porulu hadathae,there is a lot of items inside this cupboard,there is a lot of items inside this cupboard
1319,hallu urchira aennaga,my teeth is paining,my teeth is paining
1320,na eni maellaee nalubuthuga baputhu ellae,i wont come to play hereafter,i wont come to play hereafter
1321,ninna koosu na hesaru aena,what is your sons name,what is your sons name
1322,thimbuthuga elliya ondhu ellae,there is nothing to eat,there is nothing to eat
1323,ninna maellae aennaga thani gava hadathae,i have special affection on you,i have special affection on you
1324,dhana badagaruga soomi maakae,the cow is worshiped as a god by badagas,the cow is worshiped as a god by badagas
1325,ninga thindhupra,did you had good,did you had good
1326,nanga nalaba va,shall we play,shall we play
1327,buruvae jaama maada baeda seriya,dont make late okay,dont make late okay
1328,manae ga oi buttra,did you go home,did you go home
1329,aellaga namaskara,my grettings to all,my grettings to all
1330,nanga aerada saethu oppa ba,come lets go together,come lets go together
1331,dhara bapilae,who did not come,who did not come
1332,ninnaga aesu vayasu,what is your age,what is your age
1333,orrukuthu othina banthuptae maakae,today you came early,today you came early
1334,nee aethae edhdhae,how are you,how are you
1335,aenna amma ninna kooda aena aegidha,what did my mother told to you,what did my mother told to you
1336,bala paetti aelliya hadathae,where is the cupboard,where is the cupboard
1337,baari thimba,come lets eat,come lets eat
1338,aenna maejoodu kaenae thava,my socks is missing,my socks is missing
1339,ennu aesu jaama hadathae,how much time left,still how much time is left
1340,emana siti manakana ogu aenthu aegu,ask him to go little fast,ask him to go little fast
1341,nee hamana noodu,you see him,you see him
1342,gaasu appara thinna baeda,dont eat too much potato,dont eat too much potato
1343,baanu thumba neellae banna endhdhu,sky is full of blue today,sky is full of blue today
1344,madhuvae aeguva,when is your marriage,when is your marriage
1345,ninnaga aena hannu appara edathara,which fruit you like the most,which fruit you like the most
1346,gelcha maadu,do the work,do the work
1347,buruvae buruvae korcha baeda aennava,dont call me simply,dont call me simply
1348,appara baasae hada baeda,dont talk too much,dont talk too much
1349,aennaga avarai udhaka appara edathara,i like beans gravy,i like beans gravy
1350,endhdhu muttu jaenna,today is new moon day,today is new moon day
1351,eni maellae ethae aella aega baeda,dont tell like this again,dont tell like this again
1352,ei kaagitha appara mukkiya,this paper is so important,this paper is so important
1353,na ninna pathi hariyarana,do you think i dont know about you,dont ever think of me
1354,ninna thamma ollenge edhdhanaya,how is your younger brother,how is your younger brother
1355,aennaga rajini tha edathara,i like rajini,i like rajini
1356,orruku banthutha,did you got sleep,did you got sleep
1357,nee aennava aemathi buttae,you cheated me,you cheated me
1358,appara baara va thooka baeda,dont carry too much weight,dont carry too much weight
1359,edhu kappu banna,this is black color,this is black color
1360,edhuga hesaru aena,what is the name for this,what is the name for this
1361,endhdhu sani jaenna,today is saturday,today is saturday
1362,aenna hangalu appara urchira,my foot is paining,my foot is paining
1363,na kaegithae noodu,i sent you,i sent you
1364,na alivario ninnava noodithae,i have seen you somewhere,i have seen you somewhere
1365,ei bandi ollenge hadathae,this vechile looks good,this vechile looks good
1366,na aena aegithae nee aena maadinthae,what did i told what did you do,what did i told what did you do
1367,mangavaara olleiya jaenna,tuesday is a good day,tuesday is a good day
1368,emaga appara soomi bakthi,he is a devotee of god,he is a devotee of god
1369,nee aellaga mariyathae kodathu,you should respect everyone,you should respect everyone
1370,edhu ninna hennu thanae,she is your girl right,she is your girl right
1371,emma appara koopakaara,he is an angry man,he is an sngry guy
1372,nee ollenge bandi odisirae,you drive nice,you drive nice
1373,ema aeka ennu kaanae,why he is still not here,why he is still not here
1374,santhu koi udhaka maadu,prepare chicken gravy for dinner,prepare chicken gravy for dinner
1375,ollenge edhdhae,im fine,im fine
1376,ollenge orrugulaya,i didnt sleep well,i didnt sleep well
1377,ei gelcha va maadibutaya nee,did you complete this job,did you complete this job
1378,nee sooka edhdhae,you are beautiful,you are beautiful
1379,jaenu appara sooka attra,honey will be so good,honey will be so good
1380,orruku bapaningae harae orrasu nadae,take a small walk if you feel sleepy,take a small walk if you feel sleepy
1381,hanjathae eru,dont be scared,dont be scared
1382,naaiga ninna chithi ya nooda,tomorrow you meet my aunty,tomorrow we will meet your mother in law
1383,dhara bapilae,who did not come,who did not come
1384,maanu appara hanjira,deer fears a lot,the sky is paining
1385,aenna sarae eranoora ondhu uripi hadathae,i have two hundred and one rupees,i have two hundred and one rupees
1386,aennaga ondhu baeda,what does he want,what does he want
1387,kuduputhuga neeru hadathaya,do you have drinking water,do you have drinking water
1388,nee ennu orugulaya,still you havent slept,still you havent slept
1389,jamma appara haibuta,its too long,its too long
1390,mandae goruthuga kannadi baeku,you need mirror to comb your hair,you need mirror to comb your hair
1391,aenna sarae saavirtha eambathi aeradu uripi hadathae,i have thousand and eighty two rupees,i have thousand and eighty two rupees
1392,kothi ezzhu varusa tha edhdhara,cats will live for seven years,cats will live for seven years
1393,endhdhu aennaga parchae ellae,today i dont have exam,today i dont have exam
1394,aennaga aerudu amme yavaka edhdharae,i have two younger sisters,i have two younger sisters
1395,edhu appara mukkiyavatha jooli,this is so important work,this is so important work
1396,jaama harae nalubuthuga mudiya,we cant play if we are late,we cant play if we are late
1397,nee badaga harathaya,are you badaga,are you badaga
1398,sooga paatu kaethalae ollenge oruku banthara,listening to sad songs makes me sleep better,listening to sad songs makes me sleep better
1399,purudhu tha oodhathu,understand and learn,understand and learn
1400,aenna sarae naaku uripi hadathae,i have four rupees,i have four rupees
1401,ennu na aena maaduthu,what should i do next,what should i do next
1402,ninga ae soomi ya vaendiyari,which god do you worship,which god do you worship
1403,ei thinguva ondhu assundu,this whole month is boring,this whole month is boring
1404,ninnava noodiriyae ondhu kusi hara,looking at you makes me happy,looking at you makes me happy
1405,na ennu hadhuna harambichavae ellae,still you did not started it,still you did not started it
1406,addae maakae baasae haada baeda,dont speak rubbish,dont speak rubbish
1407,aenna sarae noora naaku uripi hadathae,i have hundred and four rupees,i have hundred and four rupees
1408,aenna sarae nanoora ombathu uripi hadathae,i have four hundred and nine rupees,i have four hundred and nine rupees
1409,na bandi oodisi hariyarae,i dont know to drive,i dont know to drive
1410,na bannae halliga,i will come there,i will come there
1411,edhu kappu banna,this is black color,this is black color
1412,nee manakana ondhu sambuvaga saeru,get a job soon,get a job soon
1413,ninnaga ketta palaka ondhu ellaeya,you dont have any bad habbits,you dont have bad habbits
1414,maennaya avaka aella ollenge eddharaya,how is everybody at home,how is everybody at home
1415,aennaga ondhu mutha tha,give me a kiss,give me a kiss
1416,nanga maellaena nadaba ba,we will walk slow,we will meet grandly
1417,elliga ba,come here,come here
1418,maranae tha na hatti ga odhae,day before yesterday i went to school,day before yesterday i went to school
1419,ninga hatti raj na harathaya,you know raj from your village,you know raj from your village
1420,gelcha maadirae seri,it would be good if you work,it would be good if you work
1421,ha kadaya orukuthu othina tharuthu butara,that shop will open early in the morning,that shop will open early in the morning
1422,ninga hamana noodiyariya,are you going to see him,are you going to see him
1423,aenna sarae thombathi mooru uripi hadathae,i have ninty three rupees,i have ninty three rupees
1424,naaiga nooda ji,will see you tommorrow,will see you tommorrow
1425,nennae aenna utti jaenna,yesterday is my birthdat,yesterday is my birthdat
1426,saendu maada va,shall me do a ball,shall me do a ball
1427,haalu kudapa,we will drink milk,we will drink milk
1428,ei pai appara baara,this bag is too heavy,this bag is too heavy
1429,manae ga ogaka,we can go home,we can go home
1430,batlu thogibudu,wash the plate,wash the plate
1431,aennava harathara,they know me,they know me
1432,ei thinguva aena maadithae,what did you do this month,what did you do this month
1433,aenna sarae ondhu uripi hadathae,i have one rupees,i have one rupees
1434,pada ollenge hattutha,how was the film,how was the film
1435,pottu makae basae haada beda,dont talk like a fool,dont talk like a fool
1436,edhuga aena karana,what was the reason for this,what was the reason for this
1437,nee ei aedaga ostha,are you new to this place,are you new to this place
1438,anga manaeya motha naaka,four members are there in my house,four members are there in my house
1439,aenna sarae saavirtha eppathi ondhu uripi hadathae,i have thousand and twenty one rupees,i have thousand and twenty one rupees
1440,ema ga aena baeku,what does she want,what does she want
1441,aenna sarae saavirtha nooru uripi hadathae,i have thousand and hundred rupees,i have thousand and hundred rupees
1442,ei dhari appara moosa,this way is so bad,this way is so bad
1443,na ninna pathi hariyarana,do you think i dont know about you,dont ever think of me
1444,mae butu buta,rain stopped,rain stopped
1445,edhdhuna aethae maaduthu aegu,how to do this,how to do this
1446,nae attrae jaama athae oora aenthu aeguthu mudiya,time will go on  without boring if you have a dog,time will go on without boring if you have a dog
1447,aenna sarae eambathi mooru uripi hadathae,i have eighty three rupees,i have eighty three rupees
1448,hallu urchira aennaga,my teeth is paining,my teeth is paining
1449,dhomba balae aesaga,what is the price for tomatto,what is the price for tomatto
1450,aenna sarae saavirtha nalavathi haaru uripi hadathae,i have thousand and fourty six rupees,i have thousand and fourty six rupees
1451,aennava nenachithiya,did you think of me,did you think of me
1452,e paata kaethara appara santhoshava hadathae,i feel happy while listening to this song,i feel happy while listening to this song
1453,aenna sarae saavirtha moovathi haaru uripi hadathae,i have thousand and thirty six rupees,i have thousand and thirty six rupees
1454,aennava dhara korchithuru,who called me,who called me
1455,edhae nooda baeda aennava,dont look at me like this,dont look at me like this
1456,na pada noodinae,i going to watch movie,i going to watch movie
1457,aenna sarae eppathi haaru uripi hadathae,i have twenty six rupees,i have twenty six rupees
1458,nee ninna jooli ya noodu,you better look at your work,you better look at your work
1459,nee bandi oodisi harathaya,do you know how to drive,do you know how to drive
1460,naaiga aenna utti jaenna,tomorrow is my birthday,tomorrow is my birthday
1461,jaennagu orrukuthu othina aebbuthu,daily we have to wakeup early in the morning,daily we have to wakeup early in the morning
1462,ei haspithiri seri ellae,this is not a good hospital,this is not a good hospital
1463,ninga thindhara,did you have food,did you have food
1464,ninnaga aena hannu appara edathara,which fruit you like the most,which fruit you like the most
1465,aenaga orruku bapaningae hadathae,i feel sleepy,i feel sleepy
1466,ninga maennaya aesaga edhi,how many people are there in your house,how many people are there in your house
1467,chinna baellae aesaga vario,what is price for gold,what is price for gold
1468,yaemmae appara kappa attra,buffalo will be so black in color,buffalo will be so black in color
