,input_en,true_ba,pred_ba
1031,still how much time is left,ennu aesu jaama hadathae,ennu aesu jaama hadathae
1032,earn a great name in this world,hesuru aethi ba,edhu appara kunnuthu ellae
1033,there is no black pig in my village,aenga hatti ya handhi ellae,aenga hatti ya noodithae
1034,did the sun raised,besulu utti butava,nee ollenge hadathae
1035,did you sleep well,orruku ollenge banthutha,nee ollenge edhdhae
1036,there is a lot of black pig in my village,aenga hatti thumba handhi hadathae,aenga hatti hadathae hatti hadathae
1037,tell some other things,baera aedhachi aegu,aennaga aeguthu aegu
1038,open this cupboard,ei bala paetiya tharae,ei halla ollenge hadathae
1039,during festivals all peoples used to cook chicken,habba jaenna aella manaeya koi maadiyara,nanga aennaga ollenge hattiya
1040,will you marry me,aennava madhuvae maadiriya nee,nee aennava maadithae
1041,there was a little rain this moring,endhdhu orukuthu siti mae,ei halla na appara ollenge hadathae
1042,hullathi village will be good,hullathi hatti appara sooka attra,hullathi hatti appara sooka attra
1043,we will dance from now,eni maellae tha nanga haata va hadadhu,nanga nanga nanga nanga ollenge tha
1044,im fine,ollenge edhdhae,ollenge edhdhae
1045,tonight i want to sleep properly,santhu ollenge orrugathu,na ninnaga ollenge orrukuthu
1046,scold him,emmana nudi,hamana noodu
1047,i didnt scold anybody,na tharuvavu nudibilae,na ninnava noodithae
1048,this is your elder sisters husband right,edhu ninna akka na ghanda thanae,edhu na ninna anna edhdhae edhdhae
1049,are you deaf,kiivi kaeputhu ellaya ninnaga,ninnaga appara sarae aennaga
1050,like a hare jumping out of the bush,gumboondha mola aedhdha aengae,aennaga aennaga ollenge edhdhae
1051,can a dead hen feed on grains,saththa koyee baththa mukkirava,aenga sarae koosu koosu tha
1052,looking for the reflection of the face on the water when there is a mirror in the hand,kai yogae kannadiya beethindhu neeruna moga noodidha aenge,manaeya neeru aegu baputhu ellae
1053,he is an angry man,emma appara koopakaara,emma appara koosu
1054,crow will be black in color,kakke appara kappa attra,kunna kunnuthu appara kunnuthu
1055,my fingers are paining,baerulu urchira,kai urchira
1056,wear the slippers,mettu ekku,battae ollenge ollenge
1057,this cupboard is so big,ei bala paetti appara dhoduthu,ei halla appara kunnuthu
1058,i cant open this cupboard,ei bala paettiya tharubuthu mudivilae,ei gelcha maaduthu ellae
1059,how was the cultivation,harumba ollenge hadathaya,edhuna aesaga ettu
1060,what is your mother in laws name,ninna mammi ya hesaru aena,ninna sarae na hesaru aena
1061,this dust pan is so small,ei kaasa moora appara kunnuthu,ei kunnuthu appara kunnuthu
1062,did you see the donkey,ni kaththae ya noodithiya,ninna sarae noodithiya
1063,there is a lot of houseflies here,elliya appara nona hadathae,elliga appara sarae appara hadathae
1064,my forehead is paining,aennaga nethi urchira,aennaga appara urchira
1065,my chest is paining,aenna maaru appara urchira,kai urchira
1066,my thumb finger is paining,hebbattae baeralu urchira aennaga,aennaga appara urchira
1067,i have romed all over this world,ei olaga puura na suthithae,ei haspithiri ollenge hadathae
1068,today we dont have any thing,nanga ga endhdhu ondhu ellae,ninnaga aena maaduthu ellae
1069,too much noise is coming,sadhdha appara jasthi banthara,appara ollenge appara baeda
1070,dont drink too much coffee,kaapi appara kudiya baeda,kaapi kuduputhu ellae
1071,i drink coffee two times per day,ondhu jaena na aerudu theruku tha na kaapi kudathanae,kuu na kuduputhu tha na kuduputhu
1072,i have vomitting sensation,aennaga odal haasera,aennaga appara koosu ellae
1073,leave the slippers in the yard,kaeriya mettu kaasu,battae ollenge hadathae
1074,i dont butter,aennaga baennae suthava ediya,na ninnaga edathara
1075,i dont like sweet pancakes,aennaga seeya dhotti suthava ediya,kuduputhu appara edathara
1076,usually i used to bath at nights,na aeguvavu santhu mattu tha neeru hatinae,nae ninnaga ollenge edhdhae
1077,i dont like lizards,aennaga palli ediya,aennaga appara lizarda
1078,push this little that side,edhdhuna siti hakadae thallu,edhuna edhuna edhdhae edhdhae
1079,i wont leave him today,butta paadu ellae emmana endhdhu,emma na ninnava noodithae
1080,i cant eat anything today,na endhdhu aenu thinnarae,endhdhu aennaga tha edhdhu ellae
1081,bring that chair,ha manae aethi ba,edhuna sarae edhdhae edhdhae
1082,sit on that chair,ha manae ya kuli,ei santhu ollenge edhdhae
1083,dont break this,edhdhuna odduthuthigae,edhuna edhuna thava edhdhae
1084,tear the dress,battae ya keeru,battae ollenge battae
1085,tomorrow afternoon we will play,naaiga hagulu ga nalaba,nangiga nalaba
1086,leg is paining,kaalu erathara,aennaga urchira
1087,blue color will be so nice,neela banna sooka attra,kai appara sooka attra
1088,i have nine rupees,aenna sarae ombathu uripi hadathae,aenna sarae ombainooru uripi hadathae
1089,i have hundred rupees,aenna sarae nooru uripi hadathae,aenna sarae nooru uripi hadathae
1090,i have eighty rupees,aenna sarae eambathu uripi hadathae,aenna sarae eambathi mooru uripi hadathae
1091,i have three hundred rupees,aenna sarae moonooru uripi hadathae,aenna sarae munooru uripi hadathae
1092,i have five hunfred rupees,aenna sarae hainooru uripi hadathae,aenna sarae hainooru uripi hadathae
1093,i have nine thousand rupees,aenna sarae ombathu saavira uripi hadathae,aenna sarae ombainooru uripi hadathae
1094,i have five lakhs,aenna sarae haithu lacha hadathae,aenna sarae haithu lacha hadathae
1095,i have seven lakhs,aenna sarae ezzhu lacha hadathae,aenna sarae ezzhu lacha hadathae
1096,i have three crore,aenna sarae mooru koodi hadathae,aenna sarae mooru koodi hadathae
1097,i have five crore,aenna sarae haithu koodi hadathae,aenna sarae haithu koodi hadathae
1098,i have ten crore,aenna sarae hathu koodi hadathae,aenna sarae hathu koodi hadathae
1099,i have twenty five rupees,aenna sarae eppathi haithu uripi hadathae,aenna sarae eppathi haithu uripi hadathae
1100,i have twenty eight rupees,aenna sarae eppathi eattu uripi hadathae,aenna sarae eppathi eattu uripi hadathae
1101,i have thirty three rupees,aenna sarae moovathi mooru uripi hadathae,aenna sarae moovathi mooru uripi hadathae
1102,i have thirty four rupees,aenna sarae moovathi naaku uripi hadathae,aenna sarae moovathi naaku uripi hadathae
1103,i have fourty eight rupees,aenna sarae nalavathi eattu uripi hadathae,aenna sarae nalavathi eattu uripi hadathae
1104,i have fifty six rupees,aenna sarae haivathi haaru uripi hadathae,haaru uripi hadathae
1105,i have sixty nine rupees,aenna sarae haravathi ombathu uripi hadathae,aenna sarae haravathi ombathu uripi hadathae
1106,i have eighty one rupees,aenna sarae eambathi ondhu uripi hadathae,aenna sarae eambathi ondhu uripi hadathae
1107,i have ninty one rupees,aenna sarae thombathi ondhu uripi hadathae,aenna sarae thombathi ondhu uripi hadathae
1108,i have ninty seven rupees,aenna sarae thombathi ezzhu uripi hadathae,aenna sarae thombathi ezzhu uripi hadathae
1109,i have hundred and four rupees,aenna sarae noora naaku uripi hadathae,aenna sarae noora naaku uripi hadathae
1110,i have two hundred and three rupees,aenna sarae eranoora mooru uripi hadathae,aenna sarae eranoora mooru uripi hadathae
1111,i have thousand and eighty four rupees,aenna sarae saavirtha eambathi naaku uripi hadathae,aenna sarae saavirtha eambathi naaku uripi hadathae
1112,complete the work,gelcha va beriki budu,gelcha maadu
1113,i have two elder sisters,aennaga aerudu akka navaka edhdharae,aennaga aerudu koosu ellae
1114,look at this carefully,edhuna badharava noodiko,edhuna noodithae
1115,i have seven hundred and seven rupees,aenna sarae ezzhnoora ezzhu uripi hadathae,aenna sarae ezzhnoora ezzhu uripi hadathae
1116,i have thousand and twenty two rupees,aenna sarae saavirtha eppathi aeradu uripi hadathae,aenna sarae saavirtha eppathi aeradu uripi hadathae
1117,i have eight hundred and seven rupees,aenna sarae eatnoora ezzhu uripi hadathae,aenna sarae eatnoora ezzhu uripi hadathae
1118,i dont have change if you have change you give him,aenna sarae sillarae ellae ninna sarae attrae kodu,ninnaga sarae aeguva ellae ellae ellae ellae
1119,why he is still not here,ema aeka ennu kaanae,emma aeka edhdhae aennaga
1120,this year the festival is cancelled,ei varsha habba maaduthu ellae,ei varusa habba maaduthu ellae
1121,who did not come,dhara bapilae,nee bannae
1122,he does even know how to play,emma suthava naluthu ariyara,emma nalaba ollenge edhdhae
1123,i have two rupees,aenna sarae aeradu uripi hadathae,aenna sarae aeradu uripi hadathae
1124,is there any other way,baerae dhari ondhu ellaya,elliya ondhu ellaya
1125,my village is the big village in my surroundings,aenga semmey ogae aenga hatti tha thoda hatti,ninga hatti appara thoda hatti ya
1126,they came,havaka banthu buttru,evaka banthu butta
1127,today you will complete this right,edhuna endhdhu beriki butrae thannae,edhuna na ninnaga edhdhae aennaga
1128,i have five hundred and one rupees,aenna sarae hainoora ondhu uripi hadathae,aenna sarae hainoora ondhu uripi hadathae
1129,i woke up so early in this moring,endhdhu orukuthu appara othina aedhubuttae,ei moringa appara santhu ellae
1130,give me a kiss,aennaga ondhu mutha tha,aennaga ondhu koosu
1131,why are so happy,nee aeka santhoshava edhae,nee aeka sooka edhdhae
1132,i have thirty four rupees,aenna sarae moovathi naaku uripi hadathae,aenna sarae moovathi naaku uripi hadathae
1133,i have thousand and fifty two rupees,aenna sarae saavirtha haivathi aeradu uripi hadathae,aenna sarae saavirtha haivathi aeradu uripi hadathae
1134,dont look at him,emana nooda baeda,hamana nooduthu ellae
1135,this does not produce any light,edhu velichavae baputhu ellae,edhuna appara baeda
1136,i have thirty three rupees,aenna sarae moovathi mooru uripi hadathae,aenna sarae moovathi mooru uripi hadathae
1137,it takes time for bus to arrive,bandi baputhuga jaama hara maka thava,manakana baputhu ollenge hadathae
1138,buffalos milk is good for health,yaemmae ya haalu appara ollithu,haalu kuduputhu ollithu
1139,tomorrow is monday,naaiga soovara jaenna,nangiga santhu jaenna
1140,will she go,eva odhayava,evaka ollenge edhdhara
1141,we cant live like them,evaka maakae nanga ebbuthuga mudiya,nee appara edathara
1142,i know everone here,na elli ebba havaka aellava harathae,na ninnava edhdhae aennava harathae
1143,yesterday i didnt sleep well,nennae ollenge orugulae,nennae ollenge orrukuthu
1144,is this new for you,ninnaga edhu ostha,edhuna edhuna appara edhdhae
1145,i have sixty one rupees,aenna sarae haravathi ondhu uripi hadathae,aenna sarae haravathi ondhu uripi hadathae
1146,i have four hundred rupees,aenna sarae nanooru uripi hadathae,aenna sarae nanooru uripi hadathae
1147,they are cooking fish at home,manaeya meenu maadiyara,manaeya ollenge maadithae
1148,i dont like curd,majigae aennaga ediya,majigae appara edathara
1149,will she come,eva banthayava,evaka banthu buttae
1150,i have sixty eight rupees,aenna sarae haravathi eattu uripi hadathae,aenna sarae haravathi eattu uripi hadathae
1151,will you have work,gelcha hattrava,gelcha hadathae
1152,come to village i will tell something important,hatti ga ba baevara aegina,nanga aennaga ollenge edhdhae
1153,i only have this one like that,aenna sarae ethae maakae edhu ondhu mattu tha hadathae,ei hadathae na tha edhdhae edhdhae
1154,she is a nice girl,hava olliya hennu,emma olliya olliya
1155,your eyes are too redish,kannu appara kaesona hadathae,ninnaga appara sooka hadathae
1156,today is tuesday,endhdhu mangavaara jaenna,endhdhu jaenna
1157,keep quite for sometime,siti jaama gamuna eru,nanga osi jaama osi jaama
1158,i have seven hundred and eight rupees,aenna sarae ezzhnoora eattu uripi hadathae,aenna sarae ezzhnoora eattu uripi hadathae
1159,should i see him,na hamana noodatha,emma noodithiya
1160,what does he want,aennaga ondhu baeda,emma baasae hadathae
1161,i have ninty five rupees,aenna sarae thombathi haithu uripi hadathae,aenna sarae thombathi haithu uripi hadathae
1162,i have thousand and eighty one rupees,aenna sarae saavirtha eambathi ondhu uripi hadathae,aenna sarae saavirtha eambathi ondhu uripi hadathae
1163,your socks is in the cupboard,ninna maejoodu halamaari ogasu hadathae noodu,ninna sarae ollenge hadathae
1164,i have thousand and sixty five rupees,aenna sarae saavirtha haravathi haithu uripi hadathae,aenna sarae saavirtha haravathi haithu uripi hadathae
1165,i have a separate cupboard,aennaga ondhu thani beero hadathae,aennaga ondhu ungarae hadathae
1166,i will come early today,na endhdhu othina bannae,na endhdhu bannae othina bantharae
1167,come we will eat,nanga thimba ba,nanga ollenge banthu
1168,look at him,hamana noodu,hamana noodu
1169,i have work,gelcha hadathae,gelcha hadathae
1170,i know everything about him,na hamana pathi aellava harathae,ema na ninnava noodithae
1171,i have thousand and thirty six rupees,aenna sarae saavirtha moovathi haaru uripi hadathae,aenna sarae saavirtha moovathi haaru uripi hadathae
1172,dont eat too much potato,gaasu appara thinna baeda,ninnaga appara pattu ellae
1173,i have thousand and eight rupees,aenna sarae saavirtha eattu uripi hadathae,aenna sarae saavirtha eattu uripi hadathae
1174,dont make it spicy,kaara mada baeda,edhuna appara edathara
1175,i have ninty seven rupees,aenna sarae thombathi ezzhu uripi hadathae,aenna sarae thombathi ezzhu uripi hadathae
1176,you dont beleive him,nambithigae emmana,nee hamana noodithae
1177,it takes time,jaama hara,edhu ollenge edhdhae
1178,we should drink milk daily,haalu jaennagu kuduputhu,haalu kuduputhu
1179,dont do the work,gelcha maada gana,gelcha maadinae
1180,dont talk like a fool,pottu makae basae haada beda,ninnaga appara koosu ellae
1181,people will repect you only if you have money,hana kaasu attrae tha aella madhichiyara,ninnaga edhdhae aella thaputhu ellae
1182,i have two thousand rupees,aenna sarae aerudu saavira uripi hadathae,aenna sarae eranooru uripi hadathae
1183,come to the ground we will play,hattnae ga ba nalaba,nalaba nalaba
1184,do you have dress,battae hadathaya,habba ollenge hadathae
1185,yesterday i slept so soon,nennae santhu othina origi buttae,nennae santhu appara sooka edhdhae
1186,they know me,aennava harathara,aennaga aennava harathae
1187,what did you have yesterday,nennae aena ettu,nennae aena maadithae
1188,did you work,gelcha maadithiya,gelcha maadinae
1189,do the exam well,ollenge parchae barae,nee ollenge ollenge hadathae
1190,you see him,nee hamana noodu,nee noodithiya
1191,day after tomorrowi have two exams,nangiga aennaga aeradu parchae,naaiga aennaga aeradu parchae
1192,he troubles us too much,emma appara lollu maadinae,emma appara edhdhae aennaga
1193,you should definetely buy this for me,nee aennaga kandipa esi thaputhu,ninnaga edhuna aennaga edhdhae
1194,i am going to see him,na hamana noodinae,na ninnava noodithae
1195,which actor do you like the most,ae nadigar ninnaga appara edathara,ninnaga ae appara edathara
1196,what to buy for dinner,santhu thimbuthuga aena esathu,santhu ollenge ettu
1197,tomorrow it will become so difficult,naaiga aiprae appara kasta aipra,naaiga appara kasta thoduthu
1198,tomorrow i will wear new dress,naaiga osa battae ekinae,naaiga ollenge edhdhae
1199,you dont beleive him,nambithigae emmana,nee hamana noodithae
1200,give him some milk,haalu kodu,haalu haalu
1201,i wont give you hereafter,na eni maellae ninnaga thaputhu ellae,na eni maellae ninnaga edhdhae
1202,where is your home,ninga mannae aelli hadathae,ninga hatti aelliya
1203,what is your age,ninnaga aesu vayasu,ninnaga aesaga aegu
1204,what are you studying,ninga aena kathari,ninnaga aena maadirae
1205,what is your brothers name,ninna anna na hesaru aena,ninna anna hesaru aena
1206,when is the festival,habba aeguva,habba jaennaga aeguva
1207,when is your birthday,ninna utti jaena aeguva,ninna utti jaenna
1208,shall we play,nanga nalaba va,nalaba nalaba
1209,what is your sons name,ninna koosu na hesaru aena,ninna sarae na hesaru aena
1210,what is your son studying,koosu aena kathana,ninna koosu aena edhdhae
1211,comeon comeon,baarivi baarivi,kamma bannae
1212,why it is like this,edhu aeka ethae hadathae,edhuna aesaga appara edhdhae
1213,this is so difficult,edhu appara kastava hadathae ae,edhu appara kasta
1214,so long what did you do,essu jaama aena maadithae,ninnaga aena maadithae
1215,come here,elliga ba,elliga banthu
1216,tommorow i can sleep well,naaiga ollenge orragaku,na ollenge ollenge edhdhae
1217,see you in morning,orrukuthu nooda,orrukuthu orrukuthu
1218,i havent seen you,na noodavae ellae ninna,ninnava noodithae
1219,give me some if you have,hatlae osi tharika,ninnaga edhdhae aennaga
1220,how are your children,ninna kunnavae aella ollenge edhariya,ninna sarae aesaga edhdhae
1221,he is jobless,hama bittiga tha edhdhanae,emma appara koosu ellae
1222,tommorrow is an important day,naaiga mukiyavaenna jaenna,naaiga tha ninnaga jaenna
1223,which is your village,ninna hatti aedhu,ninga hatti
1224,whose son are you,nee dhara maathi,nee aethae nee tha
1225,what is the time,manni aesaga,ollenge hadathae
1226,tuesday is a good day,mangavaara olleiya jaenna,maranae osi jaenna
1227,brother looks handsome,thamma appara sooka edhdhanae,aennaga appara sooka hadathae
1228,all childrens want to go to school,kunnavae aella pallituga opputhu,nanga ollenge ollenge edhdhae
1229,what did i told what did you do,na aena aegithae nee aena maadinthae,na aena maadirae aena maadirae
1230,keep some hot water,osi bessi neeru be,neeru kuduputhu ellae
1231,i have a headache,mandae eradhara aenaga,aennaga appara koosu
1232,wakeup early tomorrow,naaiga othina aeddhu budu,nangiga ollenge orrukuthu
1233,daily we need to brush our teeth,jaennagu hallu ujjaadhu,nanga aennaga ollenge tha
1234,we have to respect everyone while speaking,aellaga mariyathae kottu baasae haadathu,nee aeka ollenge aegu
1235,dont be scared im here,hanja baeda na edhdhae,elliga baeda
1236,im not comming anywhere,na aelligu baputhu ellae,na ninnaga ollenge edhdhae
1237,im very happy,appara santhoshava hadathae,edhuna appara sooka hadathae
1238,im twenty two years old,aennaga eppathu aeradu vayasu aipta,aenna sarae eppathi aeradu thaputhu aeradu
1239,tomorrow i will see you,naaiga ninnava na noodinae,naaiga ninnava noodithae
1240,how would i forgot you,na ninnava aethae gaena buttanae,ninnava na ninnava noodithae
1241,how to do this,edhdhuna aethae maaduthu aegu,edhuna aena maadithae
1242,i dont like this,aenaga edhdhu suthava edipilae,edhuna appara edathara
1243,dont repeat this ever again,eni maellae ethae maka maadirae hasagatha nee,edhuna aennaga ollenge edhdhae
1244,are you badaga,nee badaga harathaya,nee badaga edhdhae
1245,your sister looks so pretty,ninna akka appara sooka edhavae,ninna anna appara sooka attra
1246,i cant answer your mother,ninna amma na sarae na bathil aegarae,ninna amma na ninna koosu ellae
1247,is this a new plate,ei thattu osthu maakae,edhu ollenge hadathae
1248,do you know jairam,jairam amba hamana nee harathaya,jairam aenna sarae jairam
1249,i feel irritated when i see your face,emmana musi ya noodiriyae assundu,ninnaga appara irritated when hesaru ellae
1250,today i will come to your home,na ninga manaega bannae endhdhu,na ninnava na ninnava ollenge edhdharae
1251,it has been days since i have listened to a good song,olleya paatu kaethu appara jaenna aipta,na ondhu jaenna sarae ondhu ellae
1252,getting a bite from bees is too dangerous,kunni kachirae appara habathu,ollenge appara sooka hadathae
1253,what is your aim in life,nee thoddama harae aena harae,ninnaga aena maaduthu aena
1254,where did everyone go,aella aelliga oiypru,nee ollenge edhdhae
1255,did you write everything,aella baruthu butaya,ninnaga aella na ninnava noodithae
1256,i dont like the food,ettu edipiliya,aennaga appara edathara
1257,did you eat full or less,jaasthi thindhaya ellae kammi thindhaya,ninnaga ollenge orrukuthu
1258,we should eat properly,ollunga thimbuthu,manakana ollenge edhdhae
1259,i like dogs so much,nae anthallae aennaga appara edathara,naaiga appara appara edathara
1260,do you have a dog,ninna sarae nae hadathaya,ninna koosu hadathae
1261,this is very big,edhu appara thoduthu thava,edhu appara kunnuthu
1262,where did you study,nee aelli kathae,nee aeguva edhdhae
1263,it is too difficult to handle you,ninna koda appara kasta,ninnaga appara kasta appara kasta
1264,when did you come from the village,nee aendhdhu hattindha banthae,ninga hatti ga banthae
1265,im too much hungry,appara ottae asthara aennaga,appara kunnuthu appara edathara
1266,okay i will leave,seri na oittu bannae,na ninnaga ollenge edhdhae
1267,speaking badaga is amazing,badaga baasae hadathu sooku,badaga banna attra
1268,he passed away,hama sathu butta,emma noodithiya
1269,yesterday i met your father,nennae na ninna appa na noodithae,nennae na ninna appa na noodithae
1270,tomorrow you meet my aunty,naaiga ninna chithi ya nooda,naaiga ninna amme ya noodithae
1271,tomorrow you meet my uncle,naaiga ninna maama na nooda,naaiga ninna amme ya noodithae
1272,im fine,ollenge edhdhae,ollenge edhdhae
1273,you dont make him angry too much,nee hamana appara koopa maada gaenna,ninnaga appara edathara
1274,who is that lady,ha aemmathi thara,edhu aennaga edhdhae
1275,will you come here,elliga banthariya,elliga banthu buttae
1276,can we go to the movie today,nanga aerada endhdhu paada ga oppa va,endhdhu ollenge edhdhae
1277,i think you dont know him,nee hamana ariyarae maka,nee hamana nooduthu ellae
1278,i know your village president,na ninga hatti gowda na arathae,na ninna amme ya na ninnava edhdharae
1279,what is there for dinner,santhu thimbuthuga aena ettu,saendu hadathae aena ettu
1280,what do you have,ninna sarae aena  hadathae,ninnaga aena maadirae
1281,i beleive you,na ninnava nambi tha edhdhae,ninnaga na ninnava noodithae
1282,why didnt you call me,nee aennava aeka korchulae,aennava nee aeka thaputhu ellae
1283,he is not that strong,emaga jasthi bala ellae,emma appara kunnuthu
1284,you are so beautiful,nee appara singarava eddhae,nee appara sooka attra
1285,i wont tell anything,edhuga maelae na ondhu aegarae,eni maellae na ninnaga edhdhae
1286,she is responsible,amme appara porupa edhdhavae,emma ollenge edhdhae
1287,i fear snake,haavu noodirae appara anjikae bandhara,aennaga sarae edhdhae
1288,dont talk rubbish,buruvae baasae hadabeda,ninnaga baeda
1289,will you be my queen,ni aenna rani ya edhdharaya,ninna anna na ninnava noodithae
1290,film was so boring,pada appara asundu,nee appara sooka hadathae
1291,what will we have today,endhdhu aena ettu,endhdhu aena ettu
1292,bus will come to the bus stand,tho ga tha bandi banthara,nanga bandi ollenge bandi ba
1293,nobody is good as him,emmana maakae koosu dharu ellae,emma na ninnava noodithae
1294,they came,havaka banthu buttru,evaka banthu butta
1295,i dont like pumkin,aennaga kumbakae eddiya,appara pumkine aennaga edathara
1296,you know raj from your village,ninga hatti raj na harathaya,ninna sarae raj na harathae
1297,what did you do last week,odha vaara aena maadithae,ninnaga aena maadithae
1298,do you have drinking water,kuduputhuga neeru hadathaya,ninnaga kuduputhu ellae
1299,drink less,kammi kudi,nee ollenge edhdhae
1300,prepare some hot coffee,surakana osi kaapi be,kuduputhu kuduputhu
1301,you should look after everbody,nee tha aellava sakathu,nee ollenge edhdhae
1302,write fast,manakana baruthu budu,manakana ollenge edhdhae
1303,okay i will leave,seri na oittu bannae,na ninnaga ollenge edhdhae
1304,day after tomorrow is a good day,nangiga olleya jaenna,nangiga olleya jaenna
1305,i dont like frogs,kappe aennaga ediya,ninnaga appara olliya edathara
1306,already he is in angry,hama aerkaennavae koopa thogae eddhaennae,emma ollenge edhdhae
1307,i have came early for the work today,endhdhu orrukuthu othina gelcha ga banthu buttae,endhdhu gelcha maaduthu ellae
1308,this sharee looks beautiful,ei saelae appara sooka ha hadathae,ei kadai appara sooka hadathae
1309,take the vechile we will go somewhere,bandi aethu aelliyachi oppa,bandi oppiliya oppiliya
1310,you are born queen,uttuga rathi nee,ninna sarae na ninna noodithae
1311,your cheeks are reddish,ninna kenni kaesona hadathae,ninna sarae appara sooka hadathae
1312,next year i will built a house,hadatha varusa na mannae kattinae,na ennu osi jaama esithae
1313,he likes simbu,emaga simbu tha edathara,simbu aennaga edathara
1314,look at your face,mussiya noodu,ninnaga noodithae
1315,she is in a foul mood,hava murukkindhu edhdhavae,emma appara koosu
1316,this bottle has more water,ei putti ya jaasthi neeru hadathae,ei halla na ollenge hadathae
1317,when they will come,evaka aesu maniga banthara vario,evaka banthu buttae
1318,there is a lot of items inside this cupboard,ei bala paetti ogasu appara porulu hadathae,ei halla na appara neeru hadathae
1319,my teeth is paining,hallu urchira aennaga,kai urchira
1320,i wont come to play hereafter,na eni maellaee nalubuthuga baputhu ellae,na eni maellae ninnaga edhdhae
1321,what is your sons name,ninna koosu na hesaru aena,ninna sarae na hesaru aena
1322,there is nothing to eat,thimbuthuga elliya ondhu ellae,neeru ellae
1323,i have special affection on you,ninna maellae aennaga thani gava hadathae,ninnava na ninnava noodithae
1324,the cow is worshiped as a god by badagas,dhana badagaruga soomi maakae,koosu koosu tha harathaya
1325,did you had good,ninga thindhupra,nee ollenge hadathae
1326,shall we play,nanga nalaba va,nalaba nalaba
1327,dont make late okay,buruvae jaama maada baeda seriya,nee ollenge edhdhae
1328,did you go home,manae ga oi buttra,manae ga oppa
1329,my grettings to all,aellaga namaskara,aenna sarae aenna maadithae
1330,come lets go together,nanga aerada saethu oppa ba,nanga ollenge oppa ba
1331,who did not come,dhara bapilae,nee bannae
1332,what is your age,ninnaga aesu vayasu,ninnaga aesaga aegu
1333,today you came early,orrukuthu othina banthuptae maakae,nee ollenge banthubuttae
1334,how are you,nee aethae edhdhae,ninnaga aesaga
1335,what did my mother told to you,aenna amma ninna kooda aena aegidha,aenna amma ninna amma na ninnava noodithae
1336,where is the cupboard,bala paetti aelliya hadathae,ollenge hadathae
1337,come lets eat,baari thimba,manakana baputhu
1338,my socks is missing,aenna maejoodu kaenae thava,ninna sarae appara kasta
1339,how much time left,ennu aesu jaama hadathae,ennu aesu jaama hadathae
1340,ask him to go little fast,emana siti manakana ogu aenthu aegu,emmaga neeru ollenge edhdhae
1341,you see him,nee hamana noodu,nee noodithiya
1342,dont eat too much potato,gaasu appara thinna baeda,ninnaga appara pattu ellae
1343,sky is full of blue today,baanu thumba neellae banna endhdhu,endhdhu appara kunnuthu
1344,when is your marriage,madhuvae aeguva,ninnaga aeguva aeguva
1345,which fruit you like the most,ninnaga aena hannu appara edathara,ninnaga aena appara edathara
1346,do the work,gelcha maadu,gelcha maadu
1347,dont call me simply,buruvae buruvae korcha baeda aennava,nee aennaga ollenge ellae
1348,dont talk too much,appara baasae hada baeda,ninnaga appara baasae hadathae
1349,i like beans gravy,aennaga avarai udhaka appara edathara,ollenge appara edathara
1350,today is new moon day,endhdhu muttu jaenna,endhdhu jaenna
1351,dont tell like this again,eni maellae ethae aella aega baeda,edhuna aennaga edhuna aeguthu ellae
1352,this paper is so important,ei kaagitha appara mukkiya,ei vaara appara sooka hadathae
1353,do you think i dont know about you,na ninna pathi hariyarana,ninnaga aennava na ninnava ninnava aena maadithae
1354,how is your younger brother,ninna thamma ollenge edhdhanaya,ninna anna na anna edhdhae edhdhae
1355,i like rajini,aennaga rajini tha edathara,rajini appara edathara
1356,did you got sleep,orruku banthutha,nee ollenge edhdhae
1357,you cheated me,nee aennava aemathi buttae,nee aennava aennava maadithae
1358,dont carry too much weight,appara baara va thooka baeda,ninnaga appara baeda
1359,this is black color,edhu kappu banna,edhu appara kunnuthu
1360,what is the name for this,edhuga hesaru aena,edhuna hesaru aena
1361,today is saturday,endhdhu sani jaenna,sani jaenna
1362,my foot is paining,aenna hangalu appara urchira,kai urchira
1363,i sent you,na kaegithae noodu,na ninnava noodithae
1364,i have seen you somewhere,na alivario ninnava noodithae,ninnava noodithae
1365,this vechile looks good,ei bandi ollenge hadathae,ei bandi appara sooka hadathae
1366,what did i told what did you do,na aena aegithae nee aena maadinthae,na aena maadirae aena maadirae
1367,tuesday is a good day,mangavaara olleiya jaenna,maranae osi jaenna
1368,he is a devotee of god,emaga appara soomi bakthi,emma ollenge edhdhae
1369,you should respect everyone,nee aellaga mariyathae kodathu,ninnaga aellava aellava tha nee
1370,she is your girl right,edhu ninna hennu thanae,ei koosu appara edathara
1371,he is an angry man,emma appara koopakaara,emma appara koosu
1372,you drive nice,nee ollenge bandi odisirae,nee ollenge ollenge hadathae
1373,why he is still not here,ema aeka ennu kaanae,emma aeka edhdhae aennaga
1374,prepare chicken gravy for dinner,santhu koi udhaka maadu,kunnavae kuduputhu kuduputhu
1375,im fine,ollenge edhdhae,ollenge edhdhae
1376,i didnt sleep well,ollenge orrugulaya,ollenge ollenge maellae
1377,did you complete this job,ei gelcha va maadibutaya nee,ei gelcha maadinae
1378,you are beautiful,nee sooka edhdhae,nee appara sooka hadathae
1379,honey will be so good,jaenu appara sooka attra,ninnaga appara sooka attra
1380,take a small walk if you feel sleepy,orruku bapaningae harae orrasu nadae,ninnaga ondhu baeda baeda
1381,dont be scared,hanjathae eru,nee aennaga edhdhae
