,input_en,true_ba,output
1020,this kid looks like his mother,ei koosu thanna amma na maakae edhdhanae noodu,ei koosu thanna na maakae edhdhanae noodu
1021,you are from which village,thamma ae hatti,thamma ae hatti
1022,carry this baby,ei koosa thaththu,ei koosa thaththu
1023,dont come here,elliga banthu thigae,elliga banthu thigae
1024,we can only share secrets with the well known person,ollenge haratha havaka sarae mattu tha ragasiya aegakku,ollenge haratha sarae mattu tha havaka aeginae
1025,do you have any sense,siggu maana aella ondhu ellaya ninnaga,siggu maana aella ondhu ellaya ninnaga
1026,this shop will open late in the morning,ei kadai orrukuthu maellaena tha tharadhara,ei kadai orrukuthu maellaena tha tharadhara
1027,i fell sleepy while i close my eyes,kanna muchilae orruku banthara aennaga,kanna muchilae orruku banthara aennaga
1028,dont come here,elliga banthu thigae,elliga banthu thigae
1029,will she come,eva banthayava,eva banthayava
1030,i dont have any salary,aennaga sambuva aella ondhu ellae,aennaga sambuva aella ondhu ellae
1031,still how much time is left,ennu aesu jaama hadathae,ennu aesu jaama hadathae
1032,earn a great name in this world,hesuru aethi ba,ei evaka ondhu hesaru aena
1033,there is no black pig in my village,aenga hatti ya handhi ellae,aenga hatti handhi ya noodithae
1034,did the sun raised,besulu utti butava,besulu utti butta
1035,did you sleep well,orruku ollenge banthutha,orruku ollenge banthutha
1036,there is a lot of black pig in my village,aenga hatti thumba handhi hadathae,aenga hatti appara hadathae aenga hatti
1037,tell some other things,baera aedhachi aegu,baera aedhachi aegu
1038,open this cupboard,ei bala paetiya tharae,ei bala paetti hadathae
1039,during festivals all peoples used to cook chicken,habba jaenna aella manaeya koi maadiyara,habba jaenna aella manaeya koi maadiyara
1040,will you marry me,aennava madhuvae maadiriya nee,aennava madhuvae maadiriya nee
1041,there was a little rain this moring,endhdhu orukuthu siti mae,endhdhu orukuthu siti mae
1042,hullathi village will be good,hullathi hatti appara sooka attra,hullathi hatti ollenge attra
1043,we will dance from now,eni maellae tha nanga haata va hadadhu,eni maellae tha nanga haata va hadadhu
1044,im fine,ollenge edhdhae,ollenge edhdhae
1045,tonight i want to sleep properly,santhu ollenge orrugathu,santhu ollenge orrugathu
1046,scold him,emmana nudi,emmana nudiya
1047,i didnt scold anybody,na tharuvavu nudibilae,na tharuvavu ellae
1048,this is your elder sisters husband right,edhu ninna akka na ghanda thanae,edhu ninna akka na ghanda thanae
1049,are you deaf,kiivi kaeputhu ellaya ninnaga,kiivi kudathara ninnaga
1050,like a hare jumping out of the bush,gumboondha mola aedhdha aengae,maennae ga ondhu barae aennaga
1051,can a dead hen feed on grains,saththa koyee baththa mukkirava,baputhuga havakava ondhu kuduputhu
1052,looking for the reflection of the face on the water when there is a mirror in the hand,kai yogae kannadiya beethindhu neeruna moga noodidha aenge,kunnavae appara kasta kudathara aennaga
1053,he is an angry man,emma appara koopakaara,emma ondhu man
1054,crow will be black in color,kakke appara kappa attra,kakke appara kappa attra
1055,my fingers are paining,baerulu urchira,baeralu urchira
1056,wear the slippers,mettu ekku,mettu ekku
1057,this cupboard is so big,ei bala paetti appara dhoduthu,ei bala paetti appara dhoduthu
1058,i cant open this cupboard,ei bala paettiya tharubuthu mudivilae,ei bala paetti ei balae
1059,how was the cultivation,harumba ollenge hadathaya,havaka aella singarava
1060,what is your mother in laws name,ninna mammi ya hesaru aena,ninna amma na hesaru aena
1061,this dust pan is so small,ei kaasa moora appara kunnuthu,ei kadai appara kunnuthu
1062,did you see the donkey,ni kaththae ya noodithiya,ninga maakae noodithiya
1063,there is a lot of houseflies here,elliya appara nona hadathae,elliya appara nona hadathae
1064,my forehead is paining,aennaga nethi urchira,aennaga urchira aennaga
1065,my chest is paining,aenna maaru appara urchira,aennaga kaalu aella urchira
1066,my thumb finger is paining,hebbattae baeralu urchira aennaga,gata baellae urchira aennaga
1067,i have romed all over this world,ei olaga puura na suthithae,ei ellae aerududu thadathae
1068,today we dont have any thing,nanga ga endhdhu ondhu ellae,endhdhu aella ondhu ellaya
1069,too much noise is coming,sadhdha appara jasthi banthara,appara lollu banthara
1070,dont drink too much coffee,kaapi appara kudiya baeda,kaara appara kaapi kudathu
1071,i drink coffee two times per day,ondhu jaena na aerudu theruku tha na kaapi kudathanae,aennaga kaapi kudathu thaku tharadharae
1072,i have vomitting sensation,aennaga odal haasera,aennaga kaarikae noodu
1073,leave the slippers in the yard,kaeriya mettu kaasu,mettu dhosi hadathae
1074,i dont butter,aennaga baennae suthava ediya,unt aennaga ellae
1075,i dont like sweet pancakes,aennaga seeya dhotti suthava ediya,aennaga kaara dhotti suthava ediya
1076,usually i used to bath at nights,na aeguvavu santhu mattu tha neeru hatinae,na santhu ollenge jaennagu buttae
1077,i dont like lizards,aennaga palli ediya,aennaga ropilae aennaga ediya
1078,push this little that side,edhdhuna siti hakadae thallu,ei kadai hadathae
1079,i wont leave him today,butta paadu ellae emmana endhdhu,na endhdhu mannae endhdhu ellae
1080,i cant eat anything today,na endhdhu aenu thinnarae,endhdhu thinnlu thindhubuthu mudiya
1081,bring that chair,ha manae aethi ba,ha aella ba nanga hadathae
1082,sit on that chair,ha manae ya kuli,haaku ogasu haaku
1083,dont break this,edhdhuna odduthuthigae,edhuna balae beda
1084,tear the dress,battae ya keeru,battae ya keeru
1085,tomorrow afternoon we will play,naaiga hagulu ga nalaba,naaiga hagulu ga nalaba
1086,leg is paining,kaalu erathara,kaalu erathara
1087,blue color will be so nice,neela banna sooka attra,neela banna sooka attra
1088,i have nine rupees,aenna sarae ombathu uripi hadathae,aenna sarae ombathu uripi hadathae
1089,i have hundred rupees,aenna sarae nooru uripi hadathae,aenna sarae nooru uripi hadathae
1090,i have eighty rupees,aenna sarae eambathu uripi hadathae,aenna sarae eambathu uripi hadathae
1091,i have three hundred rupees,aenna sarae moonooru uripi hadathae,aenna sarae moonooru uripi hadathae
1092,i have five hunfred rupees,aenna sarae hainooru uripi hadathae,aenna sarae hainooru uripi hadathae
1093,i have nine thousand rupees,aenna sarae ombathu saavira uripi hadathae,aenna sarae ombathu saavira uripi hadathae
1094,i have five lakhs,aenna sarae haithu lacha hadathae,aenna sarae haithu lacha hadathae
1095,i have seven lakhs,aenna sarae ezzhu lacha hadathae,aenna sarae ezzhu lacha hadathae
1096,i have three crore,aenna sarae mooru koodi hadathae,aenna sarae mooru koodi hadathae
1097,i have five crore,aenna sarae haithu koodi hadathae,aenna sarae haithu koodi hadathae
1098,i have ten crore,aenna sarae hathu koodi hadathae,aenna sarae hathu koodi hadathae
1099,i have twenty five rupees,aenna sarae eppathi haithu uripi hadathae,aenna sarae eppathi haithu uripi hadathae
1100,i have twenty eight rupees,aenna sarae eppathi eattu uripi hadathae,aenna sarae eppathi eattu uripi hadathae
1101,i have thirty three rupees,aenna sarae moovathi mooru uripi hadathae,aenna sarae moovathi mooru uripi hadathae
1102,i have thirty four rupees,aenna sarae moovathi naaku uripi hadathae,aenna sarae moovathi naaku uripi hadathae
1103,i have fourty eight rupees,aenna sarae nalavathi eattu uripi hadathae,aenna sarae nalavathi eattu uripi hadathae
1104,i have fifty six rupees,aenna sarae haivathi haaru uripi hadathae,aenna sarae haivathi haaru uripi hadathae
1105,i have sixty nine rupees,aenna sarae haravathi ombathu uripi hadathae,aenna sarae haravathi ombathu uripi hadathae
1106,i have eighty one rupees,aenna sarae eambathi ondhu uripi hadathae,aenna sarae eambathi ondhu uripi hadathae
1107,i have ninty one rupees,aenna sarae thombathi ondhu uripi hadathae,aenna sarae thombathi ondhu uripi hadathae
1108,i have ninty seven rupees,aenna sarae thombathi ezzhu uripi hadathae,aenna sarae thombathi ezzhu uripi hadathae
1109,i have hundred and four rupees,aenna sarae noora naaku uripi hadathae,aenna sarae noora naaku uripi hadathae
1110,i have two hundred and three rupees,aenna sarae eranoora mooru uripi hadathae,aenna sarae eranoora mooru uripi hadathae
1111,i have thousand and eighty four rupees,aenna sarae saavirtha eambathi naaku uripi hadathae,aenna sarae saavirtha eambathi naaku uripi hadathae
1112,complete the work,gelcha va beriki budu,gelcha va beriki budu
1113,i have two elder sisters,aennaga aerudu akka navaka edhdharae,aennaga aerudu akka navaka edhdharae
1114,look at this carefully,edhuna badharava noodiko,edhuna badharava noodiriya
1115,i have seven hundred and seven rupees,aenna sarae ezzhnoora ezzhu uripi hadathae,aenna sarae ezzhnoora ezzhu uripi hadathae
1116,i have thousand and twenty two rupees,aenna sarae saavirtha eppathi aeradu uripi hadathae,aenna sarae saavirtha eppathi aeradu uripi hadathae
1117,i have eight hundred and seven rupees,aenna sarae eatnoora ezzhu uripi hadathae,aenna sarae eatnoora ezzhu uripi hadathae
1118,i dont have change if you have change you give him,aenna sarae sillarae ellae ninna sarae attrae kodu,aenna sarae sarae ellae ninna sarae thaputhu ellae
1119,why he is still not here,ema aeka ennu kaanae,ema aeka ennu kaanae
1120,this year the festival is cancelled,ei varsha habba maaduthu ellae,ei varsha habba maaduthu ellae
1121,who did not come,dhara bapilae,dhara bapilae
1122,he does even know how to play,emma suthava naluthu ariyara,emma suthava naluthu ariyara
1123,i have two rupees,aenna sarae aeradu uripi hadathae,aenna sarae aeradu uripi hadathae
1124,is there any other way,baerae dhari ondhu ellaya,baerae dhari ondhu ellaya
1125,my village is the big village in my surroundings,aenga semmey ogae aenga hatti tha thoda hatti,aenga hatti tha aenga hatti ya hatti tha hatti
1126,they came,havaka banthu buttru,havaka banthu buttru
1127,today you will complete this right,edhuna endhdhu beriki butrae thannae,edhuna endhdhu beriki butrae thannae
1128,i have five hundred and one rupees,aenna sarae hainoora ondhu uripi hadathae,aenna sarae hainoora ondhu uripi hadathae
1129,i woke up so early in this moring,endhdhu orukuthu appara othina aedhubuttae,endhdhu orukuthu appara othina aedhubuttae
1130,give me a kiss,aennaga ondhu mutha tha,aennaga ondhu mutha tha
1131,why are so happy,nee aeka santhoshava edhae,nee aeka santhoshava edhae
1132,i have thirty four rupees,aenna sarae moovathi naaku uripi hadathae,aenna sarae moovathi naaku uripi hadathae
1133,i have thousand and fifty two rupees,aenna sarae saavirtha haivathi aeradu uripi hadathae,aenna sarae saavirtha haivathi aeradu uripi hadathae
1134,dont look at him,emana nooda baeda,hamana nooda baeda
1135,this does not produce any light,edhu velichavae baputhu ellae,edhu ellae baputhu ellae
1136,i have thirty three rupees,aenna sarae moovathi mooru uripi hadathae,aenna sarae moovathi mooru uripi hadathae
1137,it takes time for bus to arrive,bandi baputhuga jaama hara maka thava,bandi baputhuga jaama hara maka thava
1138,buffalos milk is good for health,yaemmae ya haalu appara ollithu,yaemmae ya haalu odambuga ollithu
1139,tomorrow is monday,naaiga soovara jaenna,naaiga soovara jaenna
1140,will she go,eva odhayava,eva odhayava
1141,we cant live like them,evaka maakae nanga ebbuthuga mudiya,evaka maakae nanga ebbuthuga mudiya
1142,i know everone here,na elli ebba havaka aellava harathae,na elli ebba havaka aellava harathae
1143,yesterday i didnt sleep well,nennae ollenge orugulae,nennae ollenge orugulaya
1144,is this new for you,ninnaga edhu ostha,ninnaga edhu ostha
1145,i have sixty one rupees,aenna sarae haravathi ondhu uripi hadathae,aenna sarae haravathi ondhu uripi hadathae
1146,i have four hundred rupees,aenna sarae nanooru uripi hadathae,aenna sarae nanooru uripi hadathae
1147,they are cooking fish at home,manaeya meenu maadiyara,manaeya meenu maadiyara
1148,i dont like curd,majigae aennaga ediya,majigae aennaga ediya
1149,will she come,eva banthayava,eva banthayava
1150,i have sixty eight rupees,aenna sarae haravathi eattu uripi hadathae,aenna sarae haravathi eattu uripi hadathae
1151,will you have work,gelcha hattrava,gelcha hadathaya
1152,come to village i will tell something important,hatti ga ba baevara aegina,hatti ga ba baevara aegina baarivi
1153,i only have this one like that,aenna sarae ethae maakae edhu ondhu mattu tha hadathae,aenna sarae ethae maakae edhu ondhu mattu tha hadathae
1154,she is a nice girl,hava olliya hennu,hava olliya hennu
1155,your eyes are too redish,kannu appara kaesona hadathae,kannu appara kaesona edhdhae
1156,today is tuesday,endhdhu mangavaara jaenna,endhdhu mangavaara jaenna
1157,keep quite for sometime,siti jaama gamuna eru,siti jaama gamuna eru
1158,i have seven hundred and eight rupees,aenna sarae ezzhnoora eattu uripi hadathae,aenna sarae ezzhnoora eattu uripi hadathae
1159,should i see him,na hamana noodatha,na hamana noodithae
1160,what does he want,aennaga ondhu baeda,ema ga aena baeku
1161,i have ninty five rupees,aenna sarae thombathi haithu uripi hadathae,aenna sarae thombathi haithu uripi hadathae
1162,i have thousand and eighty one rupees,aenna sarae saavirtha eambathi ondhu uripi hadathae,aenna sarae saavirtha eambathi ondhu uripi hadathae
1163,your socks is in the cupboard,ninna maejoodu halamaari ogasu hadathae noodu,ninna maejoodu halamaari ogasu hadathae noodu
1164,i have thousand and sixty five rupees,aenna sarae saavirtha haravathi haithu uripi hadathae,aenna sarae saavirtha haravathi haithu uripi hadathae
1165,i have a separate cupboard,aennaga ondhu thani beero hadathae,aennaga ondhu thani beero hadathae
1166,i will come early today,na endhdhu othina bannae,na endhdhu othina bannae
1167,come we will eat,nanga thimba ba,nanga thindhubutta ba
1168,look at him,hamana noodu,hamana noodu
1169,i have work,gelcha hadathae,gelcha hadathae
1170,i know everything about him,na hamana pathi aellava harathae,na hamana ariyarae ondhu harathae
1171,i have thousand and thirty six rupees,aenna sarae saavirtha moovathi haaru uripi hadathae,aenna sarae saavirtha moovathi haaru uripi hadathae
1172,dont eat too much potato,gaasu appara thinna baeda,gaasu appara thinna baeda
1173,i have thousand and eight rupees,aenna sarae saavirtha eattu uripi hadathae,aenna sarae saavirtha eattu uripi hadathae
1174,dont make it spicy,kaara mada baeda,kaara mada baeda
1175,i have ninty seven rupees,aenna sarae thombathi ezzhu uripi hadathae,aenna sarae thombathi ezzhu uripi hadathae
1176,you dont beleive him,nambithigae emmana,nambithigae emmana
1177,it takes time,jaama hara,jaama hara
1178,we should drink milk daily,haalu jaennagu kuduputhu,haalu jaennagu kuduputhu
1179,dont do the work,gelcha maada gana,gelcha maada gana
1180,dont talk like a fool,pottu makae basae haada beda,pottu makae aeguva baasae haada baeda
1181,people will repect you only if you have money,hana kaasu attrae tha aella madhichiyara,hana kaasu attrae tha aella madhichiyara
1182,i have two thousand rupees,aenna sarae aerudu saavira uripi hadathae,aenna sarae aerudu saavira uripi hadathae
1183,come to the ground we will play,hattnae ga ba nalaba,hattnae ga ba nalaba
1184,do you have dress,battae hadathaya,battae hadathaya
1185,yesterday i slept so soon,nennae santhu othina origi buttae,nennae santhu othina origi buttae
1186,they know me,aennava harathara,aennava harathara
1187,what did you have yesterday,nennae aena ettu,nennae aena ettu
1188,did you work,gelcha maadithiya,gelcha maadithaya
1189,do the exam well,ollenge parchae barae,ollenge parchae barae
1190,you see him,nee hamana noodu,nee hamana noodu
1191,day after tomorrowi have two exams,nangiga aennaga aeradu parchae,nangiga aennaga aeradu parchae
1192,he troubles us too much,emma appara lollu maadinae,emma appara lollu maadinae
1193,you should definetely buy this for me,nee aennaga kandipa esi thaputhu,nee aennaga kandipa esi thaputhu
1194,i am going to see him,na hamana noodinae,na hamana noodinae
1195,which actor do you like the most,ae nadigar ninnaga appara edathara,ae nadigar ninnaga appara edathara
1196,what to buy for dinner,santhu thimbuthuga aena esathu,santhu thimbuthuga aena esathu
1197,tomorrow it will become so difficult,naaiga aiprae appara kasta aipra,naaiga aiprae appara kasta aipra
1198,tomorrow i will wear new dress,naaiga osa battae ekinae,naaiga osa battae ekinae
1199,you dont beleive him,nambithigae emmana,nambithigae emmana
1200,give him some milk,haalu kodu,haalu kodu
1201,i wont give you hereafter,na eni maellae ninnaga thaputhu ellae,na eni maellae ninnaga thaputhu ellae
1202,where is your home,ninga mannae aelli hadathae,ninga mannae aelli hadathae
1203,what is your age,ninnaga aesu vayasu,ninnaga aesu vayasu
1204,what are you studying,ninga aena kathari,ninga aena kathana
1205,what is your brothers name,ninna anna na hesaru aena,ninna anna na hesaru aena
1206,when is the festival,habba aeguva,habba aeguva
1207,when is your birthday,ninna utti jaena aeguva,ninna utti jaenna aeguva
1208,shall we play,nanga nalaba va,nanga nalaba va
1209,what is your sons name,ninna koosu na hesaru aena,ninna koosu na hesaru aena
1210,what is your son studying,koosu aena kathana,koosu aena kathana
1211,comeon comeon,baarivi baarivi,baarivi baarivi
1212,why it is like this,edhu aeka ethae hadathae,edhu aeka ethae hadathae
1213,this is so difficult,edhu appara kastava hadathae ae,edhu appara kasta thava edhu
1214,so long what did you do,essu jaama aena maadithae,essu jaama aena maadithae
1215,come here,elliga ba,elliga ba
1216,tommorow i can sleep well,naaiga ollenge orragaku,naaiga ollenge orrugathu
1217,see you in morning,orrukuthu nooda,orrukuthu nooda
1218,i havent seen you,na noodavae ellae ninna,na noodavae ellae ninna
1219,give me some if you have,hatlae osi tharika,osi tharika attrae osi tharika
1220,how are your children,ninna kunnavae aella ollenge edhariya,ninna kunnavae aella ollenge edhariya
1221,he is jobless,hama bittiga tha edhdhanae,hama santhu tha edhdhanae
1222,tommorrow is an important day,naaiga mukiyavaenna jaenna,naaiga mukiyavaenna jaenna
1223,which is your village,ninna hatti aedhu,ninna hatti aedhu
1224,whose son are you,nee dhara maathi,nee dhara maathi
1225,what is the time,manni aesaga,manni aesaga
1226,tuesday is a good day,mangavaara olleiya jaenna,mangavaara olleiya jaenna
1227,brother looks handsome,thamma appara sooka edhdhanae,thamma appara sooka edhdhanae
1228,all childrens want to go to school,kunnavae aella pallituga opputhu,kunnavae aella ondhu ga opputhu
1229,what did i told what did you do,na aena aegithae nee aena maadinthae,na aena aegithae nee aena maadithae
1230,keep some hot water,osi bessi neeru be,osi bessi neeru be
1231,i have a headache,mandae eradhara aenaga,mandae eradhara aenaga
1232,wakeup early tomorrow,naaiga othina aeddhu budu,naaiga othina aedho othina aegu
1233,daily we need to brush our teeth,jaennagu hallu ujjaadhu,jaennagu ujjithu budu
1234,we have to respect everyone while speaking,aellaga mariyathae kottu baasae haadathu,aellaga mariyathae kottu baasae haadathu
1235,dont be scared im here,hanja baeda na edhdhae,hanja baeda na edhdhae
1236,im not comming anywhere,na aelligu baputhu ellae,na aelligu baputhu ellae
1237,im very happy,appara santhoshava hadathae,appara santhoshava hadathae
1238,im twenty two years old,aennaga eppathu aeradu vayasu aipta,aennaga eppathu aeradu vayasu aipta
1239,tomorrow i will see you,naaiga ninnava na noodinae,naaiga ninnava na noodinae
1240,how would i forgot you,na ninnava aethae gaena buttanae,na ninnava aethae gaena buttanae
1241,how to do this,edhdhuna aethae maaduthu aegu,edhdhuna aethae maaduthu aegu
1242,i dont like this,aenaga edhdhu suthava edipilae,aenaga edhdhu suthava edipilae
1243,dont repeat this ever again,eni maellae ethae maka maadirae hasagatha nee,eni maellae ethae maka maadirae hasagatha nee
1244,are you badaga,nee badaga harathaya,nee badaga harathaya
1245,your sister looks so pretty,ninna akka appara sooka edhavae,ninna akka appara sooka edhavae
1246,i cant answer your mother,ninna amma na sarae na bathil aegarae,ninna amma na sarae na bathil aegarae
1247,is this a new plate,ei thattu osthu maakae,ei thattu osthu maakae
1248,do you know jairam,jairam amba hamana nee harathaya,jairam amba hamana nee harathaya
1249,i feel irritated when i see your face,emmana musi ya noodiriyae assundu,emmana musi ya noodiriyae assundu
1250,today i will come to your home,na ninga manaega bannae endhdhu,ninga manaega endhdhu bannae
1251,it has been days since i have listened to a good song,olleya paatu kaethu appara jaenna aipta,olleya paatu ondhu appara jaenna hesaru aena
1252,getting a bite from bees is too dangerous,kunni kachirae appara habathu,kunni kachirae appara habathu
1253,what is your aim in life,nee thoddama harae aena harae,nee tha harae aena harae
1254,where did everyone go,aella aelliga oiypru,aella aelliga oiypru
1255,did you write everything,aella baruthu butaya,aella baruthu butaya
1256,i dont like the food,ettu edipiliya,ettu edipiliya
1257,did you eat full or less,jaasthi thindhaya ellae kammi thindhaya,jaasthi thindhaya ellae kammi thindhaya
1258,we should eat properly,ollunga thimbuthu,ollunga thimbuthu
1259,i like dogs so much,nae anthallae aennaga appara edathara,nae anthallae aennaga appara edathara
1260,do you have a dog,ninna sarae nae hadathaya,ninna sarae nae hadathaya
1261,this is very big,edhu appara thoduthu thava,edhu appara thoda hadathae
1262,where did you study,nee aelli kathae,nee aelliga ollenge edhdharae
1263,it is too difficult to handle you,ninna koda appara kasta,ninna koda appara kasta
1264,when did you come from the village,nee aendhdhu hattindha banthae,ninga hatti aeguva banthae
1265,im too much hungry,appara ottae asthara aennaga,appara ottae asthara aennaga
1266,okay i will leave,seri na oittu bannae,ollenge na oittu bannae
1267,speaking badaga is amazing,badaga baasae hadathu sooku,badaga baasae hadathu sooka hadathae
1268,he passed away,hama sathu butta,emma sathu butta
1269,yesterday i met your father,nennae na ninna appa na noodithae,nennae na ninna appa na noodithae
1270,tomorrow you meet my aunty,naaiga ninna chithi ya nooda,naaiga aenna amme ya noodu
1271,tomorrow you meet my uncle,naaiga ninna maama na nooda,naaiga aenna maakae noodu
1272,im fine,ollenge edhdhae,ollenge edhdhae
1273,you dont make him angry too much,nee hamana appara koopa maada gaenna,nee appara maadirae maada beda
1274,who is that lady,ha aemmathi thara,ha aemma hadathae
1275,will you come here,elliga banthariya,elliga banthariya
1276,can we go to the movie today,nanga aerada endhdhu paada ga oppa va,nanga aerada endhdhu paada ga oppa va
1277,i think you dont know him,nee hamana ariyarae maka,nee hamana ariyarae maadiyarae
1278,i know your village president,na ninga hatti gowda na arathae,na ninga hatti gowda na arathae
1279,what is there for dinner,santhu thimbuthuga aena ettu,santhu thimbuthuga aena ettu
1280,what do you have,ninna sarae aena  hadathae,ninna sarae aena hadathae
1281,i beleive you,na ninnava nambi tha edhdhae,na ninnava nambinae
1282,why didnt you call me,nee aennava aeka korchulae,nee aeka korchulae
1283,he is not that strong,emaga jasthi bala ellae,emaga jasthi bala ellae
1284,you are so beautiful,nee appara singarava eddhae,nee appara sooka edhdhae
1285,i wont tell anything,edhuga maelae na ondhu aegarae,na ondhu aella ondhu aegarae
1286,she is responsible,amme appara porupa edhdhavae,emma porupa edhdhavae
1287,i fear snake,haavu noodirae appara anjikae bandhara,haavu noodithae aennaga anjikae
1288,dont talk rubbish,buruvae baasae hadabeda,buruvae baasae hadathae eru
1289,will you be my queen,ni aenna rani ya edhdharaya,ni aenna rani ya edhdharaya
1290,film was so boring,pada appara asundu,pada appara asundu
1291,what will we have today,endhdhu aena ettu,endhdhu aena ettu
1292,bus will come to the bus stand,tho ga tha bandi banthara,bandi ga tha bandi banthara
1293,nobody is good as him,emmana maakae koosu dharu ellae,emmana maakae dhaaru koosu ellae
1294,they came,havaka banthu buttru,havaka banthu buttru
1295,i dont like pumkin,aennaga kumbakae eddiya,kumbakae aennaga ediya
1296,you know raj from your village,ninga hatti raj na harathaya,ninga hatti raj na harathaya
1297,what did you do last week,odha vaara aena maadithae,odha vaara aena maadithae
1298,do you have drinking water,kuduputhuga neeru hadathaya,kuduputhuga neeru hadathaya
1299,drink less,kammi kudi,kammi kudi
1300,prepare some hot coffee,surakana osi kaapi be,surakana osi kaapi be
1301,you should look after everbody,nee tha aellava sakathu,nee tha aellava sakathu
1302,write fast,manakana baruthu budu,manakana baruthu budu
1303,okay i will leave,seri na oittu bannae,ollenge na oittu bannae
1304,day after tomorrow is a good day,nangiga olleya jaenna,nangiga olleya jaenna
1305,i dont like frogs,kappe aennaga ediya,kappe aennaga ediya
1306,already he is in angry,hama aerkaennavae koopa thogae eddhaennae,hama aerkaennavae koopa thogae eddhaennae
1307,i have came early for the work today,endhdhu orrukuthu othina gelcha ga banthu buttae,endhdhu orrukuthu othina gelcha ga banthu buttae
1308,this sharee looks beautiful,ei saelae appara sooka ha hadathae,ei saelae appara sooka hadathae
1309,take the vechile we will go somewhere,bandi aethu aelliyachi oppa,bandi aethu aelliyachi oppa
1310,you are born queen,uttuga rathi nee,uttuga rathi nee
1311,your cheeks are reddish,ninna kenni kaesona hadathae,ninna kenni ya hadathae
1312,next year i will built a house,hadatha varusa na mannae kattinae,hadatha varusa na mannae kadae
1313,he likes simbu,emaga simbu tha edathara,emaga simbu tha edathara
1314,look at your face,mussiya noodu,mussiya noodu
1315,she is in a foul mood,hava murukkindhu edhdhavae,hava murukulae edhdhavae
1316,this bottle has more water,ei putti ya jaasthi neeru hadathae,ei putti ya jaasthi neeru hadathae
1317,when they will come,evaka aesu maniga banthara vario,evaka aesu maniga banthara vario
1318,there is a lot of items inside this cupboard,ei bala paetti ogasu appara porulu hadathae,ei bala paetti appara ogasu hadathae
1319,my teeth is paining,hallu urchira aennaga,hallu urchira aennaga
1320,i wont come to play hereafter,na eni maellaee nalubuthuga baputhu ellae,na eni maellae nanga baputhu ellae
1321,what is your sons name,ninna koosu na hesaru aena,ninna koosu na hesaru aena
1322,there is nothing to eat,thimbuthuga elliya ondhu ellae,thimbuthuga elliya ondhu ellae
1323,i have special affection on you,ninna maellae aennaga thani gava hadathae,ninna maellae aennaga thani gava hadathae
1324,the cow is worshiped as a god by badagas,dhana badagaruga soomi maakae,dhana naanu appara soomi kudathu
1325,did you had good,ninga thindhupra,ninga thindhupra
1326,shall we play,nanga nalaba va,nanga nalaba va
1327,dont make late okay,buruvae jaama maada baeda seriya,buruvae jaama maada baeda seriya
1328,did you go home,manae ga oi buttra,manae ga oipra
1329,my grettings to all,aellaga namaskara,aellaga namaskara
1330,come lets go together,nanga aerada saethu oppa ba,nanga aerada saethu oppa ba
1331,who did not come,dhara bapilae,dhara bapilae
1332,what is your age,ninnaga aesu vayasu,ninnaga aesu vayasu
1333,today you came early,orrukuthu othina banthuptae maakae,orrukuthu othina banthuptae maakae
1334,how are you,nee aethae edhdhae,nee aethae edhdhae
1335,what did my mother told to you,aenna amma ninna kooda aena aegidha,aenna amma ninna kooda aena aegidha
1336,where is the cupboard,bala paetti aelliya hadathae,bala paetti aelliya hadathae
1337,come lets eat,baari thimba,baari thimba
1338,my socks is missing,aenna maejoodu kaenae thava,aenna maejoodu kaenae thava
1339,how much time left,ennu aesu jaama hadathae,ennu aesu jaama hadathae
1340,ask him to go little fast,emana siti manakana ogu aenthu aegu,emana siti manakana ogu aenthu aegu
1341,you see him,nee hamana noodu,nee hamana noodu
1342,dont eat too much potato,gaasu appara thinna baeda,gaasu appara thinna baeda
1343,sky is full of blue today,baanu thumba neellae banna endhdhu,baanu thumba neellae banna endhdhu
1344,when is your marriage,madhuvae aeguva,madhuvae aeguva
1345,which fruit you like the most,ninnaga aena hannu appara edathara,ninnaga aena hannu appara edathara
1346,do the work,gelcha maadu,gelcha maadu
1347,dont call me simply,buruvae buruvae korcha baeda aennava,buruvae buruvae korcha baeda aennava
1348,dont talk too much,appara baasae hada baeda,appara baasae hada baeda
1349,i like beans gravy,aennaga avarai udhaka appara edathara,aennaga avarai udhaka appara edathara
1350,today is new moon day,endhdhu muttu jaenna,endhdhu muttu jaenna
1351,dont tell like this again,eni maellae ethae aella aega baeda,eni maellae ethae aella aega baeda
1352,this paper is so important,ei kaagitha appara mukkiya,ei kaagitha appara mukkiya
1353,do you think i dont know about you,na ninna pathi hariyarana,na ninna pathi hariyarana
1354,how is your younger brother,ninna thamma ollenge edhdhanaya,ninna thamma ollenge edhdhavaya
1355,i like rajini,aennaga rajini tha edathara,aennaga rajini tha edathara
1356,did you got sleep,orruku banthutha,orruku banthutha
1357,you cheated me,nee aennava aemathi buttae,nee aennava aemathi buttae
1358,dont carry too much weight,appara baara va thooka baeda,appara baara va thooka baeda
1359,this is black color,edhu kappu banna,edhu kappu banna
1360,what is the name for this,edhuga hesaru aena,edhuga hesaru aena
1361,today is saturday,endhdhu sani jaenna,endhdhu sani jaenna
1362,my foot is paining,aenna hangalu appara urchira,aenna kaalu appara urchira
1363,i sent you,na kaegithae noodu,na kaegithae noodu
1364,i have seen you somewhere,na alivario ninnava noodithae,na alivario ninnava noodithae
